"genus","GH","ht.max"
"Mastigolejeunea","N.B","0"
"Rectolejeunea","N.B","0"
"Macromitrium","N.B","0"
"Plagiomnium","N.B","0"
"Leucodon","N.B","0"
"Pseudocryphaea","N.B","0"
"Zelometeorium","N.B","0"
"Orthotrichum","N.B","0"
"Coscinodon","N.B","0"
"Leptohymenium","N.B","0"
"Loeskeobryum","N.B","0"
"Pleurozium","N.B","0"
"Tritomaria","N.B","0"
"Metzgeria","N.B","0"
"Homalia","N.B","0"
"Homaliadelphus","N.B","0"
"Nardia","N.B","0"
"Hedwigia","N.B","0"
"Mnium","N.B","0"
"Discelium","N.B","0"
"Aphanorrhegma","N.B","0"
"Pylaisiadelpha","N.B","0"
"Entosthodon","N.B","0"
"Hylocomiastrum","N.B","0"
"Cinclidium","N.B","0"
"Meesia","N.B","0"
"Papillaria","N.B","0"
"Sphenolobopsis","N.B","0"
"Anacamptodon","N.B","0"
"Clasmatodon","N.B","0"
"Pseudoleskeella","N.B","0"
"Leucobryum","N.B","0"
"Bryocrumia","N.B","0"
"Apometzgeria","N.B","0"
"Geocalyx","N.B","0"
"Mylia","N.B","0"
"Barbilophozia","N.B","0"
"Ptilium","N.B","0"
"Cololejeunea","N.B","0"
"Lunularia","N.B","0"
"Plagiochila","N.B","0"
"Hookeria","N.B","0"
"Jubula","N.B","0"
"Leptodon","N.B","0"
"Antitrichia","N.B","0"
"Pseudoleskea","N.B","0"
"Lindbergia","N.B","0"
"Taxilejeunea","N.B","0"
"Eremonotus","N.B","0"
"Dryptodon","N.B","0"
"Herbertus","N.B","0"
"Pseudobryum","N.B","0"
"Cheilolejeunea","N.B","0"
"Isopterygiopsis","N.B","0"
"Anastrophyllum","N.B","0"
"Chandonanthus","N.B","0"
"Cryptocolea","N.B","0"
"Gymnocolea","N.B","0"
"Jamesoniella","N.B","0"
"Barbella","N.B","0"
"Meteoriopsis","N.B","0"
"Meteorium","N.B","0"
"Paludella","N.B","0"
"Neckeropsis","N.B","0"
"Schwetschkeopsis","N.B","0"
"Callicladium","N.B","0"
"Groutiella","N.B","0"
"Macrocoma","N.B","0"
"Dumortiera","N.B","0"
"Marchantia","N.B","0"
"Octoblepharum","N.B","0"
"Myrinia","N.B","0"
"Drummondia","N.B","0"
"Drepanolejeunea","N.B","0"
"Harpalejeunea","N.B","0"
"Schlotheimia","N.B","0"
"Leucolejeunea","N.B","0"
"Lopholejeunea","N.B","0"
"Cyrtomnium","N.B","0"
"Bazzania","N.B","0"
"Chryso-hypnum","N.B","0"
"Acrolejeunea","N.B","0"
"Ceratolejeunea","N.B","0"
"Zygodon","N.B","0"
"Preissia","N.B","0"
"Neomacounia","N.B","0"
"Ptychomitrium","N.B","0"
"Desmatodon","N.B","0"
"Neohyophila","N.B","0"
"Amblyodon","N.B","0"
"Heterocladium","N.B","0"
"Weissia","N.B","0"
"Pellia","N.B","0"
"Amphidium","N.B","0"
"Pogonatum","N.B","0"
"Didymodon","N.B","0"
"Polytrichum","N.B","0"
"Barbula","N.B","0"
"Trichostomum","N.B","0"
"Tortella","N.B","0"
"Gymnostomum","N.B","0"
"Gyroweisia","N.B","0"
"Moerckia","N.B","0"
"Pallavicinia","N.B","0"
"Tortula","N.B","0"
"Hyophila","N.B","0"
"Hyophiladelphus","N.B","0"
"Leptodontium","N.B","0"
"Psilopilum","N.B","0"
"Scopelophila","N.B","0"
"Polytrichastrum","N.B","0"
"Syntrichia","N.B","0"
"Luisierella","N.B","0"
"Sphagnum","N.B","0"
"Pedinophyllum","N.B","0"
"Bryoerythrophyllum","N.B","0"
"Bellibarbula","N.B","0"
"Astomum","N.B","0"
"Atrichum","N.B","0"
"Trichostomopsis","N.B","0"
"Myurella","N.B","0"
"Anoectangium","N.B","0"
"Aschisma","N.B","0"
"Pterigynandrum","N.B","0"
"Hymenostylium","N.B","0"
"Henicodium","N.B","0"
"Racopilum","N.B","0"
"Acaulon","N.B","0"
"Aloina","N.B","0"
"Arthonia","N.L","0"
"Oxystegus","N.B","0"
"Radula","N.B","0"
"Oligotrichum","N.B","0"
"Crossidium","N.B","0"
"Tuerckheimia","N.B","0"
"Willia","N.B","0"
"Taxithelium","N.B","0"
"Thelia","N.B","0"
"Timmia","N.B","0"
"Jaegerina","N.B","0"
"Microbryum","N.B","0"
"Molendoa","N.B","0"
"Pleurochaete","N.B","0"
"Pottia","N.B","0"
"Entodontopsis","N.B","0"
"Seligeria","N.B","0"
"Pireella","N.B","0"
"Ptilidium","N.B","0"
"Campylostelium","N.B","0"
"Blepharostoma","N.B","0"
"Porella","N.B","0"
"Riccia","N.B","0"
"Brachydontium","N.B","0"
"Eucladium","N.B","0"
"Gymnostomiella","N.B","0"
"Pseudocrossidium","N.B","0"
"Pterygoneurum","N.B","0"
"Diplophyllum","N.B","0"
"Cladonia","N.L","0"
"Cladina","N.L","0"
"Sematophyllum","N.B","0"
"Chenia","N.B","0"
"Paulia","N.L","0"
"Arctomia","N.L","0"
"Blindia","N.B","0"
"Brotherella","N.B","0"
"Phascum","N.B","0"
"Thuidium","N.B","0"
"Calicium","N.L","0"
"Cyphelium","N.L","0"
"Hydrogonium","N.B","0"
"Hymenostomum","N.B","0"
"Splachnum","N.B","0"
"Donnellia","N.B","0"
"Acarospora","N.L","0"
"Alectoria","N.L","0"
"Bacidia","N.L","0"
"Lecania","N.L","0"
"Sphaerocarpos","N.B","0"
"Aplodon","N.B","0"
"Heterophyllium","N.B","0"
"Collema","N.L","0"
"Toninia","N.L","0"
"Scapania","N.B","0"
"Tayloria","N.B","0"
"Tetraplodon","N.B","0"
"Schistostega","N.B","0"
"Xylographa","N.L","0"
"Leptogium","N.L","0"
"Chaenotheca","N.L","0"
"Dactylospora","N.L","0"
"Fuscidea","N.L","0"
"Haematomma","N.L","0"
"Hymenelia","N.L","0"
"Lecanora","N.L","0"
"Lecidella","N.L","0"
"Polysporina","N.L","0"
"Rhytidium","N.B","0"
"Pyrrhobryum","N.B","0"
"Thelomma","N.L","0"
