"shape","x","y"
"circle",0.5,0
"circle",0.497260948822782,0.0522642208003374
"circle",0.489073804896534,0.103955824098637
"circle",0.475528268246093,0.154508466107432
"circle",0.456772746543893,0.2033682817323
"circle",0.433012729125125,0.249999952831218
"circle",0.404508535604514,0.293892573269709
"circle",0.371572463761335,0.33456524651304
"circle",0.334565367941007,0.3715723544271
"circle",0.293892705461018,0.4045084395619
"circle",0.250000094337555,0.433012647426393
"circle",0.203368431003292,0.456772680084152
"circle",0.154508621507635,0.47552821775349
"circle",0.103955983925455,0.489073770924275
"circle",0.052264383302675,0.497260931743075
"circle",1.63397448269068e-07,0.499999999999973
"circle",-0.0522640582979943,0.497260965902436
"circle",-0.103955664271808,0.489073838868741
"circle",-0.154508310707212,0.475528318738646
"circle",-0.203368132461287,0.456772813003585
"circle",-0.249999811324855,0.43301281082381
"circle",-0.293892441078368,0.404508631647086
"circle",-0.334565125085037,0.37157257309553
"circle",-0.371572245092826,0.334565489368938
"circle",-0.404508343519242,0.293892837652296
"circle",-0.433012565727615,0.250000235843865
"circle",-0.456772613624363,0.203368580274262
"circle",-0.475528167260836,0.154508776907821
"circle",-0.489073736951964,0.103956143752261
"circle",-0.497260914663315,0.0522645458050069
"circle",-0.499999999999893,3.26794896538119e-07
"circle",-0.497260982982037,-0.0522638957956458
"circle",-0.489073872840895,-0.103955504444968
"circle",-0.475528369231148,-0.154508155306976
"circle",-0.456772879463229,-0.203367983190252
"circle",-0.43301289252245,-0.249999669818465
"circle",-0.404508727689614,-0.293892308886996
"circle",-0.371572682429686,-0.334565003656999
"circle",-0.334565610796834,-0.371572135758511
"circle",-0.293892969843543,-0.404508247476541
"circle",-0.250000377350148,-0.43301248402879
"circle",-0.20336872954521,-0.456772547164524
"circle",-0.154508932307991,-0.47552811676813
"circle",-0.103956303579057,-0.489073702979601
"circle",-0.0522647083073333,-0.497260897583501
"circle",-4.9019234458509e-07,-0.49999999999976
"circle",0.0522637332932913,-0.497261000061585
"circle",0.103955344618116,-0.489073906812998
"circle",0.154507999906724,-0.475528419723599
"circle",0.203367833919195,-0.456772945922824
"circle",0.249999528312048,-0.433012974221043
"circle",0.293892176695593,-0.404508823732099
"circle",0.334564882228925,-0.371572791763802
"circle",0.371572026424157,-0.334565732224694
"circle",0.404508151433797,-0.293893102034758
"circle",0.43301240232992,-0.250000518856405
"circle",0.456772480704637,-0.203368878816136
"circle",0.475528066275374,-0.154509087708145
"circle",0.489073669007185,-0.103956463405842
"circle",0.497260880503635,-0.0522648708096543
"hardwood",0.470710678118655,0
"hardwood",0.49239340918067,0.0517526218758451
"hardwood",0.487869545874878,0.103699850996477
"hardwood",0.457364721101779,0.148606773199271
"hardwood",0.40689232664963,0.181160093168653
"hardwood",0.346410225753704,0.199999986775568
"hardwood",0.360335392527206,0.261798915050606
"hardwood",0.357379628597089,0.321785964250361
"hardwood",0.333741548759486,0.370657410854836
"hardwood",0.291015894919411,0.400548851176488
"hardwood",0.235355462532545,0.407647413844082
"hardwood",0.175263646779119,0.393648341906736
"hardwood",0.128440956008928,0.39530026416333
"hardwood",0.0953855245504992,0.448752985849811
"hardwood",0.0511250814298132,0.486421230305196
"hardwood",1.63397448269033e-07,0.499999999999865
"hardwood",-0.0511247774670279,0.486421396514036
"hardwood",-0.0953852807214291,0.448753280937413
"hardwood",-0.128440787412264,0.395300624387519
"hardwood",-0.175263275722108,0.393648200919826
"hardwood",-0.235355092112834,0.407647387561621
"hardwood",-0.291015579702808,0.400548967852412
"hardwood",-0.333741337287921,0.370657663176628
"hardwood",-0.357379546753218,0.321786313507
"hardwood",-0.360335433427834,0.261799304596393
"hardwood",-0.346410264841208,0.200000311223104
"hardwood",-0.406891968842507,0.181160252520196
"hardwood",-0.457364459558065,0.148607018706131
"hardwood",-0.487869433092891,0.103700160296933
"hardwood",-0.492393465743964,0.0517529531994003
"hardwood",-0.470710886089247,3.07651830637869e-07
"hardwood",-0.428541492722687,-0.0450412332482923
"hardwood",-0.40656039711575,-0.0864167838776851
"hardwood",-0.43632415895233,-0.141769966373599
"hardwood",-0.446815688458961,-0.198934764967756
"hardwood",-0.43301289252194,-0.249999669818171
"hardwood",-0.395691094873209,-0.287485934215843
"hardwood",-0.340939352607788,-0.306982674307939
"hardwood",-0.27812025331977,-0.308883319709986
"hardwood",-0.253277746576083,-0.34860628836015
"hardwood",-0.235355555657002,-0.407646959837496
"hardwood",-0.201377964203204,-0.452301225746978
"hardwood",-0.1541284999428,-0.474357269986169
"hardwood",-0.0999855776353191,-0.470392992200536
"hardwood",-0.046557343030637,-0.442959444992619
