"Scientific.Name","preGH","Stem","Size","Leaf","GH","genus","ht.max"
"Abelia X grandiflora","S2BE","S","2","BE","S2BE","Abelia",3
"Abelmoschus esculentus","H2F","H","2","F","H2F","Abelmoschus",0.6
"Abelmoschus moschatus","H2F","H","2","F","H2F","Abelmoschus",0.6
"Abies alba","T2NE","T","2","NE","T2NE","Abies",34
"Abies amabilis","T2NE","T","2","NE","T2NE","Abies",75
"Abies balsamea","T2NE","T","2","NE","T2NE","Abies",25
"Abies bifolia","T2NE","T","2","NE","T2NE","Abies",35
"Abies bracteata","T2NE","T","2","NE","T2NE","Abies",25
"Abies concolor","T2NE","T","2","NE","T2NE","Abies",45
"Abies firma","T2NE","T","2","NE","T2NE","Abies",34
"Abies fraseri","T2NE","T","2","NE","T2NE","Abies",25
"Abies grandis","T2NE","T","2","NE","T2NE","Abies",65
"Abies lasiocarpa","T2NE","T","2","NE","T2NE","Abies",30
"Abies magnifica","T2NE","T","2","NE","T2NE","Abies",50
"Abies procera","T2NE","T","2","NE","T2NE","Abies",75
"Abies X shastensis","T.NE","T","2","NE","T2NE","Abies",34
"Abildgaardia ovata","H2GC","H","2","GC","H2GC","Abildgaardia",0.6
"Abronia alpina","H2F","H","2","F","H2F","Abronia",0.6
"Abronia ameliae","H2F","H","2","F","H2F","Abronia",0.6
"Abronia ammophila","H2F","H","2","F","H2F","Abronia",0.6
"Abronia angustifolia","H2F","H","2","F","H2F","Abronia",0.6
"Abronia bigelovii","H2F","H","2","F","H2F","Abronia",0.6
"Abronia bolackii","H2F","H","2","F","H2F","Abronia",0.6
"Abronia fragrans","H2F","H","2","F","H2F","Abronia",0.6
"Abronia elliptica","H2F","H","2","F","H2F","Abronia",0.6
"Abronia glabrifolia","H2F","H","2","F","H2F","Abronia",0.6
"Abronia latifolia","H2F","H","2","F","H2F","Abronia",0.6
"Abronia macrocarpa","H2F","H","2","F","H2F","Abronia",0.6
"Abronia maritima","H2F","H","2","F","H2F","Abronia",0.6
"Abronia mellifera","H2F","H","2","F","H2F","Abronia",0.6
"Abronia nana","H2F","H","2","F","H2F","Abronia",0.6
"Abronia pogonantha","H1F","H","2","F","H2F","Abronia",0.6
"Abronia turbinata","H2F","H","2","F","H2F","Abronia",0.6
"Abronia umbellata","H1FS","H","2","FS","H2FS","Abronia",0.6
"Abronia villosa","H1F","H","1","F","H1F","Abronia",0.6
"Abronia X insularis","","H","2","F","H2F","Abronia",0.6
"Abrus precatorius","L.BD","L",".","BD","L.BD","Abrus",12
"Abutilon abutiloides","H2F","H","2","F","H2F","Abutilon",0.6
"Abutilon auritum","S1BE","S","2","BE","S2BE","Abutilon",3
"Abutilon berlandieri","S2BE","S","2","BE","S2BE","Abutilon",3
"Abutilon coahuilae","H2F","H","2","F","H2F","Abutilon",0.6
"Abutilon eremitopetalum","S2BE","S","2","BE","S2BE","Abutilon",3
"Abutilon fruticosum","H2F","H","2","F","H2F","Abutilon",0.6
"Abutilon grandifolium","S2BE","S","2","BE","S2BE","Abutilon",3
"Abutilon hirtum","H2F","H","2","F","H2F","Abutilon",0.6
"Abutilon hulseanum","H2F","H","2","F","H2F","Abutilon",0.6
"Abutilon hypoleucum","S1BE","S","1","BE","S1BE","Abutilon",0.3
"Abutilon incanum","H2F","H","2","F","H2F","Abutilon",0.6
"Abutilon indicum","S1BE","S","1","BE","S1BE","Abutilon",0.3
"Abutilon malacum","H2F","H","2","F","H2F","Abutilon",0.6
"Abutilon menziesii","S2BE","S","2","BE","S2BE","Abutilon",3
"Abutilon mollicomum","S1BE","S","1","BE","S1BE","Abutilon",0.3
"Abutilon palmeri","S2BE","S","2","BE","S2BE","Abutilon",3
"Abutilon parishii","S1BE","S","1","BE","S1BE","Abutilon",0.3
"Abutilon parvulum","H2F","H","2","F","H2F","Abutilon",0.6
"Abutilon permolle","H2F","H","2","F","H2F","Abutilon",0.6
"Abutilon reventum","H2F","H","2","F","H2F","Abutilon",0.6
"Abutilon sandwicense","S2BE","S","2","BE","S2BE","Abutilon",3
"Abutilon theophrasti","H1F","H","1","F","H1F","Abutilon",0.6
"Abutilon trisulcatum","S1BE","S","1","BE","S1BE","Abutilon",0.3
"Abutilon wrightii","H2F","H","2","F","H2F","Abutilon",0.6
"Acacia aneura","T1BE","T","1","BE","T1BE","Acacia",12
"Acacia auriculiformis","T1BE","T","1","BE","T1BE","Acacia",12
"Acacia baileyana","T1BE","T","1","BE","T1BE","Acacia",12
"Acacia confusa","T1BE","T","1","BE","T1BE","Acacia",15
"Acacia cultriformis","T1BE","T","1","BE","T1BE","Acacia",12
"Acacia cyclops","S2BE","S","2","BE","S2BE","Acacia",4
"Acacia dealbata","T1BE","T","1","BE","T1BE","Acacia",12
"Acacia decurrens","T.BE","T","1","BE","T1BE","Acacia",12
"Acacia elata","T.BE","T","1","BE","T1BE","Acacia",12
"Acacia koa","T2BE","T","2","BE","T2BE","Acacia",35
"Acacia koaia","T.BE","T","2","BE","T2BE","Acacia",20
"Acacia longifolia","T1BE","T","1","BE","T1BE","Acacia",6
"Acacia mangium","T2BE","T","1","BE","T1BE","Acacia",12
"Acacia mearnsii","T1BE","T","1","BE","T1BE","Acacia",15
"Acacia melanoxylon","T1BE","T","1","BE","T1BE","Acacia",15
"Acacia paradoxa","S2BE","S","2","BE","S2BE","Acacia",3
"Acacia parramattensis","T1BE","T","1","BE","T1BE","Acacia",12
"Acacia podalyriifolia","T1BE","T","1","BE","T1BE","Acacia",12
"Acacia pycnantha","T1BE","T","1","BE","T1BE","Acacia",12
"Acacia redolens","S2BE","S","2","BE","S2BE","Acacia",3
"Acacia retinodes","T1BE","T","1","BE","T1BE","Acacia",12
"Acacia saligna","T1BE","T","1","BE","T1BE","Acacia",12
"Acacia verticillata","T1BE","T","1","BE","T1BE","Acacia",12
"Acaciella angustissima","S1BD","S","1","BD","S1BD","Acaciella",0.3
"Acaena exigua","H2F","H","2","F","H2F","Acaena",0.6
"Acaena novae-zelandiae","H2F","H","2","F","H2F","Acaena",0.6
"Acaena pallida","H2F","H","2","F","H2F","Acaena",0.6
"Acaena pinnatifida","H2F","H","2","F","H2F","Acaena",0.6
"Acalypha alopecuroidea","H1F","H","1","F","H1F","Acalypha",0.6
"Acalypha amentacea","S2BE","S","2","BE","S2BE","Acalypha",3
"Acalypha arvensis","H1F","H","1","F","H1F","Acalypha",0.6
"Acalypha arvensis","H1F","H","1","F","H1F","Acalypha",3
"Acalypha australis","H1F","H","1","F","H1F","Acalypha",0.6
"Acalypha berteriana","S2BE","S","2","BE","S2BE","Acalypha",3
"Acalypha bisetosa","S2BE","S","2","BE","S2BE","Acalypha",3
"Acalypha californica","S2BE","S","2","BE","S2BE","Acalypha",3
"Acalypha chamaedrifolia","S1BE","S","1","BE","S1BE","Acalypha",0.3
"Acalypha deamii","H1F","H","1","F","H1F","Acalypha",0.6
"Acalypha gracilens","H1F","H","1","F","H1F","Acalypha",0.6
"Acalypha herzogiana","H2F","H","2","F","H2F","Acalypha",0.6
"Acalypha hispida","S2BE","S","2","BE","S2BE","Acalypha",3
"Acalypha mexicana","H1F","H","1","F","H1F","Acalypha",0.6
"Acalypha monococca","H1F","H","1","F","H1F","Acalypha",0.6
"Acalypha monostachya","S1BE","S","1","BE","S1BE","Acalypha",0.3
"Acalypha neomexicana","H1F","H","1","F","H1F","Acalypha",0.6
"Acalypha ostryifolia","H1F","H","1","F","H1F","Acalypha",0.6
"Acalypha phleoides","H2F","H","2","F","H2F","Acalypha",0.6
"Acalypha poiretii","H1F","H","1","F","H1F","Acalypha",0.6
"Acalypha portoricensis","S2BE","S","2","BE","S2BE","Acalypha",3
"Acalypha radians","H2F","H","2","F","H2F","Acalypha",0.6
"Acalypha rhomboidea","H1F","H","1","F","H1F","Acalypha",0.1
"Acalypha setosa","H1F","H","1","F","H1F","Acalypha",0.6
"Acalypha subviscida","H2F","H","1","F","H1F","Acalypha",0.6
"Acalypha virginica","H1F","H","1","F","H1F","Acalypha",0.3
"Acamptopappus shockleyi","S1BD","S","1","BD","S1BD","Acamptopappus",0.3
"Acamptopappus sphaerocephalus","S1BD","S","1","BD","S1BD","Acamptopappus",0.3
"Acanthocereus tetragonus","L.U","L",".","U","L.U","Acanthocereus",12
"Acanthocereus tetragonus","L.U","L",".","U","L.U","Acanthocereus",3
"Acanthomintha duttonii","H1F","H","1","F","H1F","Acanthomintha",0.6
"Acanthomintha ilicifolia","H1F","H","1","F","H1F","Acanthomintha",0.6
"Acanthomintha lanceolata","H1F","H","1","F","H1F","Acanthomintha",0.6
"Acanthomintha obovata","H1F","H","1","F","H1F","Acanthomintha",0.6
"Acanthoscyphus parishii","H1F","H","1","F","H1F","Acanthoscyphus",0.6
"Acanthospermum australe","H2F","H","2","F","H2F","Acanthospermum",0.6
"Acanthospermum hispidum","H2F","H","2","F","H2F","Acanthospermum",0.6
"Acanthospermum humile","H1F","H","1","F","H1F","Acanthospermum",0.6
"Acanthus mollis","H2F","H","2","F","H2F","Acanthus",0.6
"Acer campestre","T1BD","T","1","BD","T1BD","Acer",13
"Acer circinatum","T1BD","T","1","BD","T1BD","Acer",15
"Acer floridanum","T2BD","T","2","BD","T2BD","Acer",20
"Acer tataricum var. ginnala","T1BD","T","1","BD","T1BD","Acer",13
"Acer glabrum","T1BD","T","1","BD","T1BD","Acer",12
"Acer grandidentatum","T1BD","T","1","BD","T1BD","Acer",15
"Acer grandidentatum var. sinuosum","T1BD","T","1","BD","T1BD","Acer",13
"Acer japonicum","T1BD","T","1","BD","T1BD","Acer",13
"Acer leucoderme","T1BD","T","1","BD","T1BD","Acer",15
"Acer macrophyllum","T2BD","T","2","BD","T2BD","Acer",30
"Acer negundo","T2BD","T","2","BD","T2BD","Acer",25
"Acer nigrum","T2BD","T","2","BD","T2BD","Acer",30
"Acer palmatum","T1BD","T","1","BD","T1BD","Acer",13
"Acer pensylvanicum","T1BD","T","1","BD","T1BD","Acer",15
"Acer platanoides","T2BD","T","2","BD","T2BD","Acer",30
"Acer pseudoplatanus","T2BD","T","2","BD","T2BD","Acer",30
"Acer rubrum","T2BD","T","2","BD","T2BD","Acer",30
"Acer saccharinum","T2BD","T","2","BD","T2BD","Acer",30
"Acer saccharum","T2BD","T","2","BD","T2BD","Acer",35
"Acer spicatum","T1BD","T","1","BD","T1BD","Acer",15
"Acer tataricum","T1BD","T","1","BD","T1BD","Acer",13
"Acer X freemanii","T.BD","T","1","BD","T1BD","Acer",13
"Achillea ageratum","H2F","H","2","F","H2F","Achillea",0.6
"Achillea alpina","H2F","H","2","F","H2F","Achillea",0.6
"Achillea filipendulina","H2F","H","2","F","H2F","Achillea",0.6
"Achillea ligustica","H2F","H","2","F","H2F","Achillea",0.6
"Achillea millefolium","H2F","H","2","F","H2F","Achillea",1
"Achillea nobilis","H2F","H","2","F","H2F","Achillea",0.6
"Achillea ptarmica","H2F","H","2","F","H2F","Achillea",0.6
"Achillea tomentosa","H2F","H","2","F","H2F","Achillea",0.6
"Achlys triphylla","H2F","H","2","F","H2F","Achlys",0.6
"Eriocoma arida","H2GC","H","2","GC","H2GC","Eriocoma",0.6
"Eriocoma arnowiae","H2GC","H","2","GC","H2GC","Eriocoma",0.6
"Eriocoma contracta","H2GC","H","2","GC","H2GC","Eriocoma",0.6
"Eriocoma coronata","H2GC","H","2","GC","H2GC","Eriocoma",0.6
"Eriocoma curvifolia","H2GC","H","2","GC","H2GC","Eriocoma",0.6
"Thorneochloa diegoensis","H2GC","H","2","GC","H2GC","Thorneochloa",0.6
"Pseudoeriocoma eminens","H2GC","H","2","GC","H2GC","Pseudoeriocoma",0.6
"Eriocoma hendersonii","H2GC","H","2","GC","H2GC","Eriocoma",0.6
"Eriocoma hymenoides","H2GC","H","2","GC","H2GC","Eriocoma",0.6
"Eriocoma latiglumis","H2GC","H","2","GC","H2GC","Eriocoma",0.6
"Eriocoma lemmonii ssp. lemmonii","H2GC","H","2","GC","H2GC","Eriocoma",0.6
"Eriocoma lettermanii","H2GC","H","2","GC","H2GC","Eriocoma",0.6
"Eriocoma lobata","H2GC","H","2","GC","H2GC","Eriocoma",0.6
"Eriocoma nelsonii ssp. nelsonii","H2GC","H","2","GC","H2GC","Eriocoma",0.6
"Eriocoma nevadensis","H2GC","H","2","GC","H2GC","Eriocoma",0.6
"Eriocoma occidentalis ssp. occidentalis","H2GC","H","2","GC","H2GC","Eriocoma",0.6
"Eriocoma parishii ssp. parishii","H2GC","H","2","GC","H2GC","Eriocoma",0.6
"Eriocoma perplexa","H2GC","H","2","GC","H2GC","Eriocoma",0.6
"Eriocoma pinetorum","H2GC","H","2","GC","H2GC","Eriocoma",0.6
"Eriocoma richardsonii","H2GC","H","2","GC","H2GC","Eriocoma",0.6
"Eriocoma robusta","H2GC","H","2","GC","H2GC","Eriocoma",0.6
"Eriocoma scribneri","H2GC","H","2","GC","H2GC","Eriocoma",0.6
"Barkworthia stillmanii","H2GC","H","2","GC","H2GC","Barkworthia",0.6
"Eriocoma swallenii","H2GC","H","2","GC","H2GC","Eriocoma",0.6
"Eriocoma thurberiana","H2GC","H","2","GC","H2GC","Eriocoma",0.6
"Eriocoma wallowaensis","H2GC","H","2","GC","H2GC","Eriocoma",0.6
"Eriocoma webberi","H2GC","H","2","GC","H2GC","Eriocoma",0.6
"Achnatherum X bloomeri","H.GC","H","2","GC","H2GC","Achnatherum",0.6
"Achyrachaena mollis","H1F","H","1","F","H1F","Achyrachaena",0.6
"Achyranthes aspera","H2F","H","2","F","H2F","Achyranthes",0.6
"Achyranthes atollensis","S2BE","S","2","BE","S2BE","Achyranthes",3
"Achyranthes japonica","H2F","H","2","F","H2F","Achyranthes",0.6
"Achyranthes mutica","S2BE","S","2","BE","S2BE","Achyranthes",3
"Achyranthes splendens","S2BE","S","2","BE","S2BE","Achyranthes",3
"Achyronychia cooperi","H1F","H","1","F","H1F","Achyronychia",0.6
"Acianthella pubescens","E.F","E",".","F","E.F","Acianthella",12
"Acicarpha tribuloides","H1F","H","1","F","H1F","Acicarpha",0.6
"Acisanthera erecta","H2F","H","2","F","H2F","Acisanthera",0.6
"Acleisanthes acutifolia","H2F","H","2","F","H2F","Acleisanthes",0.6
"Acleisanthes angustifolia","H2F","H","2","F","H2F","Acleisanthes",0.6
"Acleisanthes anisophylla","H2F","H","2","F","H2F","Acleisanthes",0.6
"Acleisanthes chenopodioides","H2F","H","2","F","H2F","Acleisanthes",0.6
"Acleisanthes crassifolia","H2F","H","2","F","H2F","Acleisanthes",0.6
"Acleisanthes diffusa","S1BE","S","1","BE","S1BE","Acleisanthes",0.3
"Acleisanthes lanceolata","H2F","H","2","F","H2F","Acleisanthes",0.6
"Acleisanthes longiflora","H2F","H","2","F","H2F","Acleisanthes",0.6
"Acleisanthes nevadensis","H2F","H","2","F","H2F","Acleisanthes",0.6
"Acleisanthes obtusa","H2FV","H","2","FV","H2FV","Acleisanthes",2.9
"Acleisanthes parvifolia","H2F","H","2","F","H2F","Acleisanthes",0.6
"Acleisanthes wrightii","H2F","H","2","F","H2F","Acleisanthes",0.6
"Acmella decumbens","H2F","H","2","F","H2F","Acmella",0.6
"Acmella iodiscaea","H1F","H","1","F","H1F","Acmella",0.6
"Acmella pilosa","H2F","H","2","F","H2F","Acmella",0.6
"Acmella pusilla","H2F","H","2","F","H2F","Acmella",0.6
"Acmella repens","H2F","H","2","F","H2F","Acmella",0.6
"Acmispon americanus","H1F","H","1","F","H1F","Acmispon",0.6
"Acmispon argophyllus","H2F","H","2","F","H2F","Acmispon",0.6
"Acmispon argophyllus var. argophyllus","H2F","H","2","F","H2F","Acmispon",0.6
"Acmispon argyraeus","H2F","H","2","F","H2F","Acmispon",0.6
"Acmispon argyraeus var. argyraeus","H2F","H","2","F","H2F","Acmispon",0.6
"Acmispon brachycarpus","H1F","H","1","F","H1F","Acmispon",0.6
"Acmispon cytisoides","H2F","H","2","F","H2F","Acmispon",0.6
"Acmispon dendroideus","H2F","H","2","F","H2F","Acmispon",0.6
"Acmispon denticulatus","H1F","H","1","F","H1F","Acmispon",0.6
"Acmispon glaber","H2F","H","2","F","H2F","Acmispon",0.6
"Acmispon grandiflorus","H2F","H","2","F","H2F","Acmispon",0.6
"Acmispon neomexicanus","H2F","H","2","F","H2F","Acmispon",0.6
"Acmispon haydonii","H2F","H","2","F","H2F","Acmispon",0.6
"Acmispon heermannii","H2F","H","2","F","H2F","Acmispon",0.6
"Acmispon junceus","H2F","H","2","F","H2F","Acmispon",0.6
"Acmispon maritimus","H1F","H","2","F","H2F","Acmispon",0.6
"Acmispon maritimus var. maritimus","H1F","H","2","F","H2F","Acmispon",0.6
"Acmispon mearnsii","H2F","H","2","F","H2F","Acmispon",0.6
"Acmispon micranthus","H1F","H","1","F","H1F","Acmispon",0.6
"Acmispon nevadensis","H2F","H","2","F","H2F","Acmispon",0.6
"Acmispon oroboides","H2F","H","2","F","H2F","Acmispon",0.6
"Acmispon parviflorus","H1F","H","2","F","H2F","Acmispon",0.6
"Acmispon procumbens","H2F","H","2","F","H2F","Acmispon",0.6
"Acmispon prostratus","H1F","H","2","F","H2F","Acmispon",0.6
"Acmispon rigidus","H2F","H","2","F","H2F","Acmispon",0.6
"Acmispon rubriflorus","H1F","H","2","F","H2F","Acmispon",0.6
"Acmispon strigosus","H1F","H","1","F","H1F","Acmispon",0.6
"Acmispon utahensis","H2F","H","2","F","H2F","Acmispon",0.6
"Acmispon wrangelianus","H1F","H","2","F","H2F","Acmispon",0.6
"Acmispon wrightii","H2F","H","2","F","H2F","Acmispon",0.6
"Acnistus arborescens","T1BE","T","1","BE","T1BE","Acnistus",12
"Acoelorraphe wrightii","T1P","T","1","P","T1P","Acoelorraphe",12
"Acoelorraphe wrightii","T1P","T","1","P","T1P","Acoelorraphe",25
"Acokanthera schimperi","S2BE","S","2","BE","S2BE","Acokanthera",3
"Aconitum carmichaelii","H2F","H","2","F","H2F","Aconitum",0.7
"Aconitum columbianum","H2F","H","2","F","H2F","Aconitum",1.5
"Aconitum compactum","H2F","H","2","F","H2F","Aconitum",0.7
"Aconitum delphiniifolium","H2F","H","2","F","H2F","Aconitum",0.7
"Aconitum infectum","H2F","H","2","F","H2F","Aconitum",0.7
"Aconitum lycoctonum","H2F","H","2","F","H2F","Aconitum",0.7
"Aconitum maximum","H2F","H","2","F","H2F","Aconitum",0.7
"Aconitum napellus","H2F","H","2","F","H2F","Aconitum",0.7
"Aconitum reclinatum","H2F","H","2","F","H2F","Aconitum",0.7
"Aconitum uncinatum","H2F","H","2","F","H2F","Aconitum",0.7
"Aconitum variegatum","H2F","H","2","F","H2F","Aconitum",0.7
"Aconitum X bicolor","","H","2","F","H2F","Aconitum",0.7
"Koenigia alaskana var. alaskana","H2F","H","2","F","H2F","Koenigia",0.6
"Koenigia davisiae","H2F","H","2","F","H2F","Koenigia",0.6
"Koenigia phytolaccifolia","H2F","H","2","F","H2F","Koenigia",0.6
"Acorus americanus","H2F","H","2","F","H2F","Acorus",1
"Acorus calamus","H2F","H","2","F","H2F","Acorus",1.5
"Acourtia microcephala","H2F","H","2","F","H2F","Acourtia",0.6
"Acourtia nana","H2F","H","2","F","H2F","Acourtia",0.6
"Acourtia runcinata","H2F","H","2","F","H2F","Acourtia",0.6
"Acourtia thurberi","H2F","H","2","F","H2F","Acourtia",0.6
"Acourtia wrightii","H2F","H","2","F","H2F","Acourtia",0.6
"Acrachne racemosa","H1GW","H","1","GW","H1GW","Acrachne",0.6
"Acrocomia aculeata","T1P","T","1","P","T1P","Acrocomia",12
"Acrocomia aculeata","T.P","T","1","P","T1P","Acrocomia",12
"Acrostichum aureum","H2F","H",".","FE","H.FE","Acrostichum",0.6
"Acrostichum danaeifolium","H2F","H",".","FE","H.FE","Acrostichum",0.6
"Actaea arizonica","H2F","H","2","F","H2F","Actaea",0.6
"Actaea elata","H2F","H","2","F","H2F","Actaea",0.6
"Actaea laciniata","H2F","H","2","F","H2F","Actaea",0.6
"Actaea pachypoda","H2F","H","2","F","H2F","Actaea",0.6
"Actaea podocarpa","H2F","H","2","F","H2F","Actaea",0.6
"Actaea racemosa","H2F","H","2","F","H2F","Actaea",0.6
"Actaea rubifolia","H2F","H","2","F","H2F","Actaea",0.6
"Actaea rubra","H2F","H","2","F","H2F","Actaea",0.6
"Actaea X ludovici","","H","2","F","H2F","Actaea",0.6
"Actinidia arguta","L.BD","L",".","BD","L.BD","Actinidia",12
"Actinidia chinensis","L.BD","L",".","BD","L.BD","Actinidia",12
"Actinidia polygama","L.BD","L",".","BD","L.BD","Actinidia",12
"Actinostachys pennula","H2F","H",".","FE","H.FE","Actinostachys",0.6
"Adansonia digitata","T.BD","T","2","BD","T2BD","Adansonia",24
"Adelia ricinella","T1BE","T","1","BE","T1BE","Adelia",12
"Adelia vaseyi","S2BE","S","2","BE","S2BE","Adelia",3
"Adenanthera pavonina","T1BD","T","1","BD","T1BD","Adenanthera",15
"Adenocaulon bicolor","H2F","H","2","F","H2F","Adenocaulon",0.6
"Adenophorus abietinus","H2F","H",".","FE","H.FE","Adenophorus",0.6
"Adenophorus epigaeus","H2F","H",".","FE","H.FE","Adenophorus",0.6
"Adenophorus haalilioanus","H2F","H",".","FE","H.FE","Adenophorus",0.6
"Adenophorus hymenophylloides","H2F","H",".","FE","H.FE","Adenophorus",0.6
"Adenophorus oahuensis","H2F","H",".","FE","H.FE","Adenophorus",0.6
"Adenophorus periens","H2F","H",".","FE","H.FE","Adenophorus",0.6
"Adenophorus pinnatifidus","H2F","H",".","FE","H.FE","Adenophorus",0.6
"Adenophorus tamariscinus","H2F","H",".","FE","H.FE","Adenophorus",0.6
"Adenophorus tenellus","H2F","H",".","FE","H.FE","Adenophorus",0.6
"Adenophorus tripinnatifidus","H2F","H",".","FE","H.FE","Adenophorus",0.6
"Adenophorus X abbottiae","","H",".","FE","H.FE","Adenophorus",0.6
"Adenophorus X carsonii","","H",".","FE","H.FE","Adenophorus",0.6
"Adenophyllum cooperi","S1BD","S","1","BD","S1BD","Adenophyllum",0.3
"Adenophyllum porophylloides","S1BD","S","1","BD","S1BD","Adenophyllum",0.3
"Adenophyllum porophyllum","S1BD","S","1","BD","S1BD","Adenophyllum",0.3
"Adenophyllum wrightii","H1F","H","1","F","H1F","Adenophyllum",0.6
"Adenostemma lavenia","H2F","H","2","F","H2F","Adenostemma",0.6
"Adenostemma verbesina","H2F","H","2","F","H2F","Adenostemma",0.6
"Adenostoma fasciculatum","S2BE","S","2","BE","S2BE","Adenostoma",3
"Adenostoma sparsifolium","T1BES","T","1","BES","T1BES","Adenostoma",12
"Adiantopsis paupercula","H2F","H",".","FE","H.FE","Adiantopsis",0.6
"Adiantum aleuticum","H2F","H",".","FE","H.FE","Adiantum",0.6
"Adiantum anceps","H.FE","H",".","FE","H.FE","Adiantum",0.6
"Adiantum capillus-veneris","H2F","H",".","FE","H.FE","Adiantum",0.5
"Adiantum caudatum","H.FE","H",".","FE","H.FE","Adiantum",0.6
"Adiantum concinnum","H2F","H",".","FE","H.FE","Adiantum",0.6
"Adiantum fragile","H2F","H",".","FE","H.FE","Adiantum",0.6
"Adiantum hispidulum","H2F","H",".","FE","H.FE","Adiantum",0.6
"Adiantum jordanii","H2F","H",".","FE","H.FE","Adiantum",0.6
"Adiantum latifolium","H2F","H",".","FE","H.FE","Adiantum",0.6
"Adiantum macrophyllum","H2F","H",".","FE","H.FE","Adiantum",0.6
"Adiantum melanoleucum","H2F","H",".","FE","H.FE","Adiantum",0.6
"Adiantum obliquum","H2F","H",".","FE","H.FE","Adiantum",0.6
"Adiantum pedatum","H2F","H",".","FE","H.FE","Adiantum",0.4
"Adiantum petiolatum","H2F","H",".","FE","H.FE","Adiantum",0.6
"Adiantum pulverulentum","H2F","H",".","FE","H.FE","Adiantum",0.6
"Adiantum pyramidale","H2F","H",".","FE","H.FE","Adiantum",0.6
"Adiantum raddianum","H2F","H",".","FE","H.FE","Adiantum",0.6
"Adiantum tenerum","H2F","H",".","FE","H.FE","Adiantum",0.6
"Adiantum tetraphyllum","H2F","H",".","FE","H.FE","Adiantum",0.6
"Adiantum trapeziforme","H2F","H",".","FE","H.FE","Adiantum",0.6
"Adiantum tricholepis","H2F","H",".","FE","H.FE","Adiantum",0.6
"Adiantum villosum","H2F","H",".","FE","H.FE","Adiantum",0.6
"Adiantum viridimontanum","H2F","H",".","FE","H.FE","Adiantum",0.6
"Adiantum vivesii","H2F","H",".","FE","H.FE","Adiantum",0.6
"Adiantum wilsonii","H2F","H",".","FE","H.FE","Adiantum",0.6
"Adiantum X tracyi","","H",".","FE","H.FE","Adiantum",0.6
"Adlumia fungosa","H2FV","H","2","FV","H2FV","Adlumia",3
"Adolphia californica","S2BE","S","2","BE","S2BE","Adolphia",3
"Adolphia infesta","S2BE","S","2","BE","S2BE","Adolphia",3
"Adonis aestivalis","H1F","H","1","F","H1F","Adonis",0.6
"Adonis annua","H1F","H","1","F","H1F","Adonis",0.6
"Adonis vernalis","H2F","H","2","F","H2F","Adonis",0.6
"Adoxa moschatellina","H2F","H","2","F","H2F","Adoxa",0.6
"Aechmea bracteata","E.F","E",".","F","E.F","Aechmea",12
"Aechmea fasciata","E.F","E",".","F","E.F","Aechmea",12
"Wittmackia lingulata","E.F","E",".","F","E.F","Wittmackia",12
"Aechmea nudicaulis","E.F","E",".","F","E.F","Aechmea",12
"Aegilops crassa","H1GC","H","1","GC","H1GC","Aegilops",0.6
"Aegilops cylindrica","H1GC","H","1","GC","H1GC","Aegilops",0.6
"Aegilops geniculata","H1GC","H","1","GC","H1GC","Aegilops",0.6
"Aegilops neglecta","H1GC","H","1","GC","H1GC","Aegilops",0.6
"Aegilops tauschii","H1GC","H","1","GC","H1GC","Aegilops",0.6
"Aegilops triuncialis","H1GC","H","1","GC","H1GC","Aegilops",0.6
"Aegilops ventricosa","H1GC","H","1","GC","H1GC","Aegilops",0.6
"Aegiphila elata","L.BE","L",".","BE","L.BE","Aegiphila",12
"Aegiphila integrifolia","T1BE","T","1","BE","T1BE","Aegiphila",12
"Aegiphila martinicensis","T1BE","T","1","BE","T1BE","Aegiphila",12
"Aegopodium podagraria","H2F","H","2","F","H2F","Aegopodium",0.6
"Aeonium arboreum","S1U","S","1","U","S1U","Aeonium",0.3
"Aeonium haworthii","S1U","S","1","U","S1U","Aeonium",0.3
"Aerva sericea","H2F","H","2","F","H2F","Aerva",0.6
"Aeschynomene americana","H2F","H","2","F","H2F","Aeschynomene",0.6
"Aeschynomene evenia","H2F","H","2","F","H2F","Aeschynomene",0.6
"Aeschynomene gracilis","H2F","H","2","F","H2F","Aeschynomene",0.6
"Aeschynomene histrix","H2F","H","2","F","H2F","Aeschynomene",0.6
"Aeschynomene histrix","H2F","H","2","F","H2F","Aeschynomene",0.3
"Aeschynomene indica","H2F","H","2","F","H2F","Aeschynomene",0.6
"Aeschynomene paniculata","H1F","H","1","F","H1F","Aeschynomene",0.6
"Aeschynomene pratensis","S1BD","S","1","BD","S1BD","Aeschynomene",0.3
"Aeschynomene rudis","H2F","H","2","F","H2F","Aeschynomene",0.6
"Aeschynomene sensitiva","H2F","H","2","F","H2F","Aeschynomene",0.6
"Aeschynomene villosa","H1F","H","1","F","H1F","Aeschynomene",0.6
"Aeschynomene virginica","H1F","H","1","F","H1F","Aeschynomene",0.6
"Aeschynomene viscidula","H2F","H","2","F","H2F","Aeschynomene",0.6
"Aesculus californica","T1BD","T","1","BD","T1BD","Aesculus",12
"Aesculus flava","T2BD","T","2","BD","T2BD","Aesculus",35
"Aesculus glabra","T2BD","T","2","BD","T2BD","Aesculus",25
"Aesculus hippocastanum","T2BD","T","2","BD","T2BD","Aesculus",25
"Aesculus parviflora","T1BD","T","1","BD","T1BD","Aesculus",12
"Aesculus pavia","T1BD","T","1","BD","T1BD","Aesculus",8
