accsym,syn,sym,taxon
ASCRC,,ASCRC,Astragalus crassicarpus var. cavus
ASCRC3,,ASCRC3,Astragalus crassicarpus var. crassicarpus
ASCRP,,ASCRP,Astragalus crassicarpus var. paysonii
ASCRT,,ASCRT,Astragalus crassicarpus var. trichocalyx
ASCR3,,ASCR3,Astragalus cremnophylax
ASCRC4,,ASCRC4,Astragalus cremnophylax var. cremnophylax
ASCRH,,ASCRH,Astragalus cremnophylax var. hevronii
ASCRM,,ASCRM,Astragalus cremnophylax var. myriorrhaphis
ASCR4,,ASCR4,Astragalus cronquistii
ASCR5,,ASCR5,Astragalus crotalariae
ASPRL2,ASCRD3,ASCRD3,Astragalus crotalariae var. davidsonii
ASCU3,,ASCU3,Astragalus curtipes
ASCU4,,ASCU4,Astragalus curvicarpus
ASCUB,,ASCUB,Astragalus curvicarpus var. brachycodon
ASCUC,,ASCUC,Astragalus curvicarpus var. curvicarpus
ASCUS,,ASCUS,Astragalus curvicarpus var. subglaber
ASCU5,,ASCU5,Astragalus cusickii
ASCUC2,,ASCUC2,Astragalus cusickii var. cusickii
ASCUF,,ASCUF,Astragalus cusickii var. flexilipes
ASCUP,,ASCUP,Astragalus cusickii var. packardiae
ASCUS2,,ASCUS2,Astragalus cusickii var. sterilis
ASPRC2,ASCU16,ASCU16,Astragalus cutleri
ASCY,,ASCY,Astragalus cyaneus
ASCY3,,ASCY3,Astragalus cymbicarpos
ASCY2,,ASCY2,Astragalus cymboides
ASDA5,,ASDA5,Astragalus danicus
ASAG2,ASDAD,ASDAD,Astragalus danicus var. dasyglottis
ASDA6,,ASDA6,Astragalus dasyanthus
ASAG2,ASDA3,ASDA3,Astragalus dasyglottis
ASHUH3,ASDA4,ASDA4,Astragalus datilensis
ASDE,,ASDE,Astragalus deanei
ASDE11,,ASDE11,Astragalus debequaeus
ASMID,ASDE13,ASDE13,Astragalus decumbens
ASMIC,ASDEC2,ASDEC2,Astragalus decumbens var. crispatus
ASMIO,ASDEO,ASDEO,Astragalus decumbens var. oblongifolius
ASMIS,ASDES,ASDES,Astragalus decumbens var. serotinus
ASDE21,,ASDE21,Astragalus demetrii
ASDE22,,ASDE22,Astragalus depressus
ASDE2,,ASDE2,Astragalus desereticus
ASDE3,,ASDE3,Astragalus desperatus
ASDEC,,ASDEC,Astragalus desperatus var. conspectus
ASDED,,ASDED,Astragalus desperatus var. desperatus
ASDEN,,ASDEN,Astragalus desperatus var. neeseae
ASDEP,,ASDEP,Astragalus desperatus var. petrophilus
ASDE4,,ASDE4,Astragalus deterior
ASDE5,,ASDE5,Astragalus detritalis
ASDI2,,ASDI2,Astragalus diaphanus
ASDI2,ASDID6,ASDID6,Astragalus diaphanus var. diaphanus
ASDI2,ASDID4,ASDID4,Astragalus diaphanus var. diurnus
ASDI3,,ASDI3,Astragalus didymocarpus
ASDID2,ASDID5,ASDID5,Astragalus didymocarpus var. daleoides
ASDID2,,ASDID2,Astragalus didymocarpus var. didymocarpus
ASDID,,ASDID,Astragalus didymocarpus var. dispermus
ASDIM,,ASDIM,Astragalus didymocarpus var. milesianus
ASDIO,,ASDIO,Astragalus didymocarpus var. obispoensis
ASBIB,ASDI6,ASDI6,Astragalus diholcos
ASLED,ASDI18,ASDI18,Astragalus diphysus
ASDID,ASDI8,ASDI8,Astragalus dispermus
ASDI4,,ASDI4,Astragalus distortus
ASDID3,,ASDID3,Astragalus distortus var. distortus
ASDIE,,ASDIE,Astragalus distortus var. engelmannii
ASDI2,ASDI7,ASDI7,Astragalus diurnus
ASDI5,,ASDI5,Astragalus diversifolius
ASCOC10,ASDIC2,ASDIC2,Astragalus diversifolius var. campestris
ASDO,,ASDO,Astragalus douglasii
ASDOD,,ASDOD,Astragalus douglasii var. douglasii
