"taxon","auth","gbif","usda"
"Schizoxylon compositum","Ellis & Everh.","Schizoxylon compositum",
"Schizoxylon ligustri","(Schwein.) Sherwood","Schizoxylon ligustri",
"Schizoxylon sepincola","Pers.","Schizoxylon sepincola",
"Sphaeropezia sipei","(Grummann) Baloch & Wedin","Sphaeropezia sipei",
"Stictis abietina","Fr.","Stictis abietina",
"Stictis arundinacea","Pers.","Stictis arundinacea",
"Stictis sesleriae","Lib.","Stictis arundinacea",
"Stictis chrysopsis","Ellis & Everh.","Stictis chrysopsis",
"Stictis elevata","(P.Karst.) P.Karst.","Stictis elevata",
"Stictis friabilis","(W.Phillips & Plowr.) Sacc. & Traverso","Stictis friabilis",
"Stictis fuscella","Sherwood","Stictis fuscella",
"Stictis hawaiensis","E.K.Cash","Stictis hawaiensis",
"Stictis leucospermi","Joanne E.Taylor, Crous & M.E.Palm","Stictis leucospermi",
"Stictis mollis","Pers.","Stictis mollis",
"Stictis monilifera","W.Phillips & Harkn. ex Sacc.","Stictis monilifera",
"Stictis pachyspora","(Rehm) Rehm","Stictis pachyspora",
"Stictis populorum","(Gilenstam) Gilenstam","Stictis populorum",
"Stictis annulata","Cooke & W.Phillips","Stictis radiata",
"Stictis radiata","(L.) Pers., 1800","Stictis radiata",
"Stictis serenoae","E.K.Cash","Stictis serenoae",
"Stictis serpentaria","Ellis & Everh.","Stictis serpentaria",
"Stictis stellata","Wallr.","Stictis stellata",
"Conotrema urceolatum","(Ach.) Tuck.","Stictis urceolata","Conotrema urceolatum"
"Stictis urceolata","(Ach.) Gilenstam","Stictis urceolata",
"Stictis virginea","Cooke & W.Phillips","Stictis virginea",
"Opegrapha corticola","Coppins & P.James","Thelopsis corticola",
"Thelopsis corticola","(Coppins & P.James) Sanderson & Ertz","Thelopsis corticola",
"Thelopsis flaveola","Arnold","Thelopsis flaveola",
"Thelopsis inordinata","Nyl.","Thelopsis inordinata","Thelopsis inordinata"
"Thelopsis isiaca","Stizenb.","Thelopsis isiaca","Thelopsis isiaca"
"Thelopsis subporinella","Nyl.","Thelopsis isiaca","Thelopsis isiaca"
"Thelopsis rubella","Nyl.","Thelopsis rubella","Thelopsis rubella"
"Topelia aperiens","P.M.Jørg. & Vĕzda","Topelia aperiens","Topelia aperiens"
"Topelia brittonii","(Riddle) H.Mayrhofer","Topelia brittonii",
"Topelia californica","P.M.Jørg. & Vĕzda","Topelia californica","Topelia californica"
"Topelia gyalectodes","(Nyl.) B.D.Ryan & Lumbsch","Topelia gyalectodes",
"Trinathotrema stictideum","(Nyl.) Lücking, R.Miranda & Kalb","Trinathotrema stictideum",
"Xyloschistes platytropa","(Nyl.) Vain.","Xyloschistes platytropa",
"Aspidothelium scutellicarpum","Lücking","Aspidothelium scutellicarpum",
"Polyblastiopsis geminella","(Nyl.) Zahlbr.","Polyblastiopsis geminella","Julella geminella"
"Polyblastiopsis intrusa","(Nyl.) Zahlbr.","Polyblastiopsis intrusa",
"Thelenella brasiliensis","(Müll.Arg.) Vain.","Thelenella brasiliensis","Thelenella brasiliensis"
"Thelenella calcicola","C.A.Morse","Thelenella calcicola",
"Thelenella cinerascens","(Vain.) R.C.Harris","Thelenella cinerascens","Thelenella cinerascens"
"Aspidothelium fugiens","(Müll.Arg.) R.Sant.","Thelenella fugiens","Thelenella fugiens"
"Thelenella fugiens","(Müll.Arg.) R.C.Harris","Thelenella fugiens","Thelenella fugiens"
"Thelenella geminipara","(Malme) R.C.Harris","Thelenella geminipara","Thelenella geminipara"
"Microglaena hassei","Zahlbr.","Thelenella hassei","Thelenella hassei"
"Thelenella hassei","(Zahlbr.) H.Mayrhofer","Thelenella hassei","Thelenella hassei"
"Thelenella inductula","(Nyl. ex Hasse) H.Mayrhofer","Thelenella inductula","Thelenella inductula"
"Verrucaria inductula","Nyl.","Thelenella inductula",
"Thelenella luridella","(Nyl.) H.Mayrhofer","Thelenella luridella","Thelenella luridella"
"Thelenella modesta","(Nyl.) Nyl.","Thelenella modesta","Thelenella modesta"
"Chromatochlamys muscorum","(Th.Fr.) H.Mayrhofer & Poelt","Thelenella muscorum","Chromatochlamys muscorum"
"Chromatochlamys muscorum var. octospora","(Nyl.) H.Mayrhofer & Poelt","Thelenella muscorum","Chromatochlamys muscorum var. octospora"
"Thelenella muscorum","(Th.Fr.) Vain.","Thelenella muscorum",
"Thelenella muscorum var. octospora","(Nyl.) Coppins & Fryday","Thelenella muscorum",
"Thelenella muscorum var. muscorum","","Thelenella muscorum var. muscorum",
"Thelenella nubifera","C.A.Morse","Thelenella nubifera",
"Thelenella pertusariella","(Nyl.) Vain.","Thelenella pertusariella","Thelenella pertusariella"
"Thelenella sychnogonoides","(Zahlbr.) R.C.Harris","Thelenella sychnogonoides",
"Thelenella vezdae","(H.Mayrhofer & Poelt) Coppins & Fryday","Thelenella vezdae",
"Thelenella weberi","H.Mayrhofer","Thelenella weberi","Thelenella weberi"
"Thrombium aoristum","(Nyl.) Arnold, 1871","Thrombium aoristum",
"Thrombium discordans","(Nyl.) Zahlbr.","Thrombium discordans","Thrombium discordans"
"Thrombium endolithicum","H.Magn.","Thrombium endolithicum",
"Thrombium mauroides","Zschacke","Thrombium mauroides",
"Coccocarpia dissecta","Swinscow & Krog","Coccocarpia dissecta",
"Coccocarpia domingensis","Vainio","Coccocarpia domingensis","Coccocarpia domingensis"
"Coccocarpia epiphylla","(Fée) Müll.Arg.","Coccocarpia epiphylla",
"Coccocarpia erythroxyli","(Spreng.) Swinscow & Krog","Coccocarpia erythroxyli","Coccocarpia erythroxyli"
"Coccocarpia parmelioides","(Hook.) Tuck. ex Curtis","Coccocarpia erythroxyli","Coccocarpia erythroxyli"
"Pannaria parmelioides","(Hook.) Colmeiro","Coccocarpia erythroxyli",
"Coccocarpia filiformis","Arvids.","Coccocarpia filiformis",
"Coccocarpia microphyllina","Lücking & Aptroot","Coccocarpia microphyllina",
"Coccocarpia molybdaea","Pers.","Coccocarpia molybdaea",
"Pannaria molybdaea","(Pers.) Tuck.","Coccocarpia molybdaea",
"Coccocarpia neglecta","Aptroot & Lücking","Coccocarpia neglecta",
"Coccocarpia cronia","(Tuck.) Vain.","Coccocarpia palmicola","Coccocarpia palmicola"
"Coccocarpia palmicola","(Spreng.) Arv. & D.J.Galloway","Coccocarpia palmicola","Coccocarpia palmicola"
"Pannaria molybdaea var. cronia","(Tuck.) C.W.Harris","Coccocarpia palmicola",
"Parmelia cronia","Tuck.","Coccocarpia palmicola",
"Coccocarpia pellita","(Ach.) Müll.Arg.","Coccocarpia pellita",
"Coccocarpia prostrata","Lücking, Aptroot & Sipman","Coccocarpia prostrata",
"Coccocarpia stellata","Tuck.","Coccocarpia stellata","Coccocarpia stellata"
"Spilonema americanum","(Henssen & Tønsberg) T.Sprib., Tønsberg & Muggia","Spilonema americanum",
"Spilonemella americana","Henssen & Tønsberg","Spilonema americanum",
"Spilonema maritimum","T.Sprib. & Fryday","Spilonema maritimum",
"Spilonema paradoxum","Bornet","Spilonema paradoxum","Spilonema paradoxum"
"Spilonema revertens","Nyl.","Spilonema revertens","Spilonema revertens"
"Blennothallia crispa","(Huds.) Otálora, P.M.Jørg. & Wedin","Blennothallia crispa",
"Collema crispum","(Huds.) Weber","Blennothallia crispa","Collema crispum"
"Blennothallia fecunda","(Degel.) Otálora, P.M.Jørg. & Wedin","Blennothallia fecunda",
"Collema fecundum","Degel.","Blennothallia fecunda","Collema fecundum"
"Callome multipartita","(Sm.) Otálora, P.M.Jørg. & Wedin","Callome multipartita",
"Collema multipartitum","Sm.","Callome multipartita","Collema multipartitum"
"Collema bermudanum","Tuck., 1916","Collema bermudanum",
"Collema callopismum var. rhyparodes","(Nyl.) Degel.","Collema callopismum var. rhyparodes","Collema callopismum var. rhyparodes"
"Collema conglomeratum var. conglomeratum","","Collema conglomeratum var. conglomeratum",
"Collema conglomeratum var. crassiusculum","(Malme) Degel.","Collema conglomeratum var. crassiusculum","Collema conglomeratum var. crassiusculum"
"Collema cyrtaspis","Tuck.","Collema conglomeratum var. crassiusculum","Collema conglomeratum var. crassiusculum"
"Collema coniophilum","Goward","Collema coniophilum",
"Collema crispum var. crispum","","Collema crispum var. crispum",
"Collema crispum var. metzleri","(Arnold.) Degel.","Collema crispum var. metzleri",
"Collema curtisporum","Degel.","Collema curtisporum","Collema curtisporum"
"Collema flaccidum","(Ach.) Ach.","Collema flaccidum","Collema flaccidum"
"Collema rupestre","(F.Desp.) Rabenh.","Collema flaccidum",
"Collema furfuraceum","(Schaer.) Du Rietz","Collema furfuraceum","Collema furfuraceum"
"Collema furfuraceum var. luzonense","(Räsänen) Degel.","Collema furfuraceum","Collema furfuraceum var. luzonense"
"Collema glaucophthalmum","Nyl.","Collema glaucophthalmum",
"Collema glebulentum","(Nyl. ex Cromb.) Degel.","Collema glebulentum","Collema glebulentum"
"Collema implicatum","Nyl.","Collema implicatum",
"Collema kauaiense","Degel.","Collema kauaiense","Collema kauaiense"
"Collema laeve","Hook.f. & Taylor","Collema laeve",
"Collema leptaleum","Tuck.","Collema leptaleum","Collema leptaleum"
"Collema microptychium","Tuck.","Collema leptaleum","Collema leptaleum"
"Collema leucocarpum","Hook.f. & Taylor","Collema leucocarpum",
"Collema cristatum var. marginale","(Huds.) Degel.","Collema marginale","Collema cristatum var. marginale"
"Collema marginale","(Huds.) Hoffm.","Collema marginale",
"Collema nigrescens","(Huds.) DC.","Collema nigrescens","Collema nigrescens"
"Collema vespertilio","(Lightf.) Hoffm.","Collema nigrescens",
"Synechoblastus nigrescens","(Huds.) Trevis.","Collema nigrescens",
"Collema polycarpon ssp. corcyrense","(Arnold) Pi","Collema polycarpon ssp. corcyrense",
"Collema polycarpon var. corcyrense","(Arnold) Degel., 1954","Collema polycarpon ssp. corcyrense",
"Collema pulcellum","Ach.","Collema pulcellum",
"Leptogium pulcellum","(Ach.) Nyl.","Collema pulcellum",
"Collema leucopeplum","(Tuck.) A.Schneider","Collema pulcellum var. leucopeplum","Collema pulchellum var. leucopeplum"
"Collema pulcellum var. leucopeplum","(Tuck.) Degel.","Collema pulcellum var. leucopeplum",
"Collema pulcellum var. pulcellum","","Collema pulcellum var. pulcellum",
"Collema pulcellum var. subnigrescens","(Müll.Arg.) Degel.","Collema pulcellum var. subnigrescens",
"Collema pulchellum","","Collema pulchellum","Collema pulchellum"
"Collema pulchellum var. leucopeplum","","Collema pulchellum var. leucopeplum","Collema pulchellum var. leucopeplum"
"Collema pulchellum var. pulchellum","","Collema pulchellum var. pulchellum",
"Collema pustulatum","Ach.","Collema pustulatum","Collema pustulatum"
"Collema rugosum","Kremp.","Collema rugosum",
"Collema ryssoleum","(Tuck.) A.Schneid.","Collema ryssoleum","Collema ryssoleum"
"Collema subconveniens","Nyl.","Collema subconveniens",
"Leptogium olivaceum","F.Wilson","Collema subconveniens",
"Collema subflaccidum","Degel.","Collema subflaccidum","Collema subflaccidum"
"Collema subfurvum","","Collema subflaccidum",
"Collema subnigrescens","Degel.","Collema subnigrescens","Collema subnigrescens"
"Collema subparvum","Degel.","Collema subparvum","Collema subparvum"
"Collema tenax","Degel.","Collema tenax","Collema tenax"
"Collema tenax var. crustaceum","","Collema tenax var. crustaceum","Collema tenax var. crustaceum"
"Collema texanum","Tuck.","Collema texanum","Collema texanum"
"Collema texanum var. texanum","","Collema texanum var. texanum",
"Collema thamnodes","Tuck., 1916","Collema thamnodes","Collema thamnodes"
"Collema undulatum var. undulatum","","Collema undulatum var. undulatum",
"Collema bachmanianum","(Fink) Degel.","Enchylium bachmanianum","Collema bachmanianum"
"Collema bachmanianum var. millegranum","Degel.","Enchylium bachmanianum",
"Collemodes bachmanianum","Fink","Enchylium bachmanianum","Collema bachmanianum"
"Enchylium bachmanianum","(Fink) Otálora, P.M.Jørg. & Wedin","Enchylium bachmanianum",
"Enchylium bachmanianum var. millegranum","(Degel.) M.Schultz & McCune","Enchylium bachmanianum",
"Collema coccophorum","Tuck.","Enchylium coccophorum","Collema coccophorum"
"Enchylium coccophorum","(Tuck.) Otálora, P.M.Jørg. & Wedin","Enchylium coccophorum",
"Collema conglomeratum","Hoffm.","Enchylium conglomeratum","Collema conglomeratum"
"Collema pycnocarpum","Nyl.","Enchylium conglomeratum","Collema conglomeratum var. crassiusculum"
"Enchylium conglomeratum","(Hoffm.) Otálora, P.M.Jørg. & Wedin","Enchylium conglomeratum",
"Collema tenax var. expansum","Degel.","Enchylium expansum",
"Enchylium expansum","(Degel.) P.M.Jørg.","Enchylium expansum",
"Enchylium ligerinum","(Hy) Otálora, P.M.Jørg. & Wedin","Enchylium ligerinum",
"Collema limosum","(Ach.) Ach.","Enchylium limosum","Collema limosum"
"Enchylium limosum","(Ach.) Otálora, P.M.Jørg. & Wedin","Enchylium limosum",
"Collema polycarpon","Hoffm.","Enchylium polycarpon","Collema polycarpon"
"Enchylium polycarpon","(Hoffm.) Otálora, P.M.Jørg. & Wedin","Enchylium polycarpon",
"Enchylium polycarpon ssp. polycarpon","","Enchylium polycarpon ssp. polycarpon",
"Collema tenax var. substellatum","(H.Magn.) Degel.","Enchylium substellatum","Collema tenax var. substellatum"
"Enchylium substellatum","(H.Magn.) P.M.Jørg.","Enchylium substellatum",
"Collema pulposulum","Nyl.","Enchylium tenax",
"Collema pulposum","Ach.","Enchylium tenax","Collema tenax"
"Collema tenax var. corallinum","(A.Massal.) Degel.","Enchylium tenax","Collema tenax var. corallinum"
"Collema tenax var. tenax","","Enchylium tenax",
"Enchylium tenax","(Sw.) Gray","Enchylium tenax",
"Collema auriforme","(With.) Coppins & J.R.Laundon","Lathagrium auriforme","Collema auriforme"
"Lathagrium auriforme","(With.) Otálora, P.M.Jørg. & Wedin","Lathagrium auriforme",
"Collema cristatum","(L.) Weber ex F.H.Wigg.","Lathagrium cristatum","Collema cristatum"
"Collema cristatum var. cristatum","","Lathagrium cristatum",
"Lathagrium cristatum","(L.) Otálora, P.M.Jørg. & Wedin","Lathagrium cristatum",
"Lathagrium dichotomum","(With.) Otálora, P.M.Jørg. & Wedin","Lathagrium dichotomum",
"Collema furvum","(Ach.) DC.","Lathagrium fuscovirens","Collema fuscovirens"
"Collema fuscovirens","(With.) J.R.Laundon","Lathagrium fuscovirens","Collema fuscovirens"
"Collema tuniforme","(Ach.) Ach.","Lathagrium fuscovirens","Collema fuscovirens"
"Lathagrium fuscovirens","(With.) Otálora, P.M.Jørg. & Wedin","Lathagrium fuscovirens",
"Lathagrium neglectum","(Degel.) Otálora, P.M.Jørg. & Wedin","Lathagrium neglectum",
"Collema undulatum","Laurer ex Flot.","Lathagrium undulatum","Collema undulatum"
"Collema undulatum var. granulosum","Degel.","Lathagrium undulatum","Collema undulatum var. granulosum"
"Lathagrium undulatum","(Laurer ex Flot.) Poetsch","Lathagrium undulatum",
"Lathagrium undulatum var. granulosum","(Degel.) M.Schultz & McCune","Lathagrium undulatum",
"Leptogium acadiense","J.W.Hinds, F.L.Anderson & Lendemer","Leptogium acadiense",
"Leptogium acutisporum","P.M.Jørgensen","Leptogium acutisporum",
"Leptogium adpressum","Nyl.","Leptogium adpressum","Leptogium adpressum"
"Leptogium anastomosans","Nyl.","Leptogium anastomosans",
"Leptogium andinum","P.M.Jørg.","Leptogium andinum",
"Leptogium arcticum","P.M.Jørg.","Leptogium arcticum","Leptogium arcticum"
"Leptogium arsenei","Sierk","Leptogium arsenei","Leptogium arsenei"
"Leptogium austroamericanum","(Malme) C.W.Dodge","Leptogium austroamericanum","Leptogium austroamericanum"
"Leptogium azureum","(Sw.) Mont.","Leptogium azureum","Leptogium azureum"
"Leptogium brebissonii","Mont.","Leptogium brebissonii","Leptogium brebissonii"
"Leptogium britannicum","P.M.Jørg. & P.James","Leptogium britannicum",
"Leptogium bullatum","Müll.Arg.","Leptogium bullatum",
"Leptogium burgessii","(L.) Mont.","Leptogium burgessii","Leptogium burgessii"
"Leptogium burnetiae","Dodge","Leptogium burnetiae","Leptogium burnetiae"
"Leptogium byssinum","(Hoffm.) Zwackh","Leptogium byssinum","Leptogium byssinum"
"Leptogium caesiellum","Tuck.","Leptogium byssinum","Leptogium byssinum"
"Leptogium chloromelum","(Ach.) Nyl.","Leptogium chloromelum","Leptogium chloromelum"
"Leptogium cochleatum","(Dicks.) P.M.Jørg. & P.James","Leptogium cochleatum",
"Leptogium compactum","D.F.Stone, F.L.Anderson & J.W.Hinds","Leptogium compactum",
"Leptogium cookii","D.F.Stone & Lendemer","Leptogium cookii",
"Leptogium coralloideum","(Meyen & Flot.) Vain.","Leptogium coralloideum",
"Leptogium corticola","(Taylor) Tuck.","Leptogium corticola","Leptogium corticola"
"Leptogium cyanescens","(Ach.) Körb.","Leptogium cyanescens","Leptogium cyanescens"
"Leptogium dactylinum","Tuck.","Leptogium dactylinum","Leptogium dactylinum"
"Leptogium denticulatum","Nyl., 1867","Leptogium denticulatum","Leptogium denticulatum"
"Leptogium diaphanum","(Sw.) Mont.","Leptogium diaphanum",
"Leptogium digitatum","(A.Massal.) Zahlbr.","Leptogium digitatum","Leptogium digitatum"
"Leptogium enkarodes","Verdon","Leptogium enkarodes",
"Leptogium floridanum","Sierk","Leptogium floridanum","Leptogium floridanum"
"Leptogium foveolatum","","Leptogium foveolatum",
"Leptogium furfuraceum","(Harm.) Sierk","Leptogium furfuraceum","Leptogium furfuraceum"
"Leptogium fusisporum","(Tuck.) Dodge","Leptogium fusisporum","Leptogium fusisporum"
"Leptogium hibernicum","M.E.Mitch. ex P.M.Jørg.","Leptogium hibernicum",
"Leptogium hildenbrandii","(Garov.) Nyl.","Leptogium hildenbrandii",
"Leptogium burnetiae var. hirsutum","(Sierk) P.M.Jörg.","Leptogium hirsutum","Leptogium hirsutum"
"Leptogium hirsutum","Sierk","Leptogium hirsutum","Leptogium hirsutum"
"Leptogium hypotrachynum","Müll.Arg.","Leptogium hypotrachynum","Leptogium hypotrachynum"
"Leptogium inflexum","Nyl.","Leptogium inflexum","Leptogium burgessii"
"Leptogium isidiosellum","(Riddle) Sierk","Leptogium isidiosellum","Leptogium isidiosellum"
"Leptogium joergensenii","Marcelli & Kitaura","Leptogium joergensenii",
"Leptogium juniperinum","Tuck.","Leptogium juniperinum","Leptogium juniperinum"
"Leptogium juressianum","Tav.","Leptogium juressianum",
"Leptogium americanum","Degel.","Leptogium laceroides","Leptogium laceroides"
"Leptogium laceroides","de Lesd.","Leptogium laceroides","Leptogium laceroides"
"Leptogium leptophyllinum","(Meyen & Flot.) Zahlbr.","Leptogium leptophyllinum",
"Leptogium mandonii","P.M.Jørg.","Leptogium mandonii",
"Leptogium marginellum","(Sw.) Gray","Leptogium marginellum","Leptogium marginellum"
"Leptogium mastocheilum","(Vain.) Kitaura & Marcelli","Leptogium mastocheilum",
"Leptogium menziesii","(Sm.) Mont.","Leptogium menziesii",
"Leptogium microstictum","Vainio","Leptogium microstictum","Leptogium microstictum"
"Leptogium milligranum","Sierk","Leptogium milligranum","Leptogium milligranum"
"Leptogium minutissimum","(Flörke) Fr.","Leptogium minutissimum","Leptogium subtile"
"Leptogium moluccanum","(Pers.) Vain.","Leptogium moluccanum",
"Leptogium papillosum","(de Lesd.) Dodge","Leptogium papillosum","Leptogium furfuraceum"
"Leptogium philorheuma","F.Wilson","Leptogium philorheuma",
"Leptogium phyllocarpum","(Pers.) Mont.","Leptogium phyllocarpum","Leptogium phyllocarpum"
"Leptogium phyllocarpum var. macrocarpa","Nyl., 1858","Leptogium phyllocarpum var. macrocarpa",
"Leptogium pichneum","(Ach.) Malme","Leptogium pichneum",
"Leptogium pseudofurfuraceum","P.M.Jørg.","Leptogium pseudofurfuraceum",
"Leptogium pseudolivaceum","Lücking","Leptogium pseudolivaceum",
"Leptogium pulchellum","","Leptogium pulchellum",
"Leptogium punctulatum","Nyl.","Leptogium punctulatum",
"Leptogium resupinans","Nyl.","Leptogium resupinans",
"Leptogium reticulatum","Mont.","Leptogium reticulatum",
"Leptogium rivulare","(Ach.) Mont.","Leptogium rivulare","Leptogium rivulare"
"Leptogium rugosum","Sierk","Leptogium rugosum","Leptogium rugosum"
"Leptogium myochroum","(Ehrh.) Nyl.","Leptogium saturninum",
"Leptogium saturninum","(Dicks.) Nyl.","Leptogium saturninum","Leptogium saturninum"
"Leptogium sessile","Vainio","Leptogium sessile","Leptogium sessile"
"Leptogium stancookii","D.F.Stone & Lendemer","Leptogium stancookii",
"Leptogium stipitatum","Vainio","Leptogium stipitatum","Leptogium stipitatum"
"Leptogium teretiusculum","Wallr. ex Arnold","Leptogium teretiusculum","Leptogium teretiusculum"
"Leptogium tremelloides","(Ach.) Gray","Leptogium tremelloides",
"Leptogium ulvaceum","(Pers.) Vain.","Leptogium ulvaceum",
"Leptogium valdivianum","M.Lindström","Leptogium valdivianum",
"Leptogium vesiculosum","(Swartz) Malme","Leptogium vesiculosum",
"Leptogium victorianum","F.Wilson","Leptogium victorianum",
"Leptogium wilsonii","Zahlbr.","Leptogium wilsonii",
"Pseudoleptogium diffractum","(Kremp. ex Körb.) Müll.Arg.","Pseudoleptogium diffractum",
"Collema callibotrys","Tuck.","Rostania callibotrys","Collema callibotrys"
"Rostania callibotrys","(Tuck.) Otálora, P.M.Jørg. & Wedin","Rostania callibotrys",
"Collema ceraniscum","Nyl.","Rostania ceranisca","Collema ceraniscum"
"Rostania ceranisca","(Nyl.) Otálora, P.M.Jørg. & Wedin","Rostania ceranisca",
"Rostania effusa","A.Košuth., M.Westb. & Wedin","Rostania effusa",
"Collema occultatum","Bagl.","Rostania occultata","Collema occultatum"
"Collema verruciforme","(Ach.) Nyl., 1855","Rostania occultata",
"Rostania occultata","(Bagl.) Otálora, P.M.Jørg. & Wedin","Rostania occultata",
"Collema occultatum var. populinum","(Th.Fr.) Degel.","Rostania populina",
"Rostania populina","(Th.Fr.) A.Košuth., M.Westb. & Wedin","Rostania populina",
"Leptogium apalachense","Nyl.","Scytinium apalachense",
"Scytinium apalachense","(Nyl.) Otálora, P.M.Jørg. & Wedin","Scytinium apalachense",
"Scytinium aquale","(Arnold) Otálora, P.M.Jørg. & Wedin","Scytinium aquale",
"Scytinium biatorinum","(Nyl.) Otálora, P.M.Jørg. & Wedin","Scytinium biatorinum",
"Leptogium californicum","Tuck.","Scytinium californicum","Leptogium californicum"
"Scytinium californicum","(Tuck.) Otálora, P.M.Jørg. & Wedin","Scytinium californicum",
"Collema callopismum","A.Massal.","Scytinium callopismum","Collema callopismum"
"Scytinium callopismum","(A.Massal.) Otálora, P.M.Jørg. & Wedin","Scytinium callopismum",
"Leptogium cellulosum","P.M.Jørg. & Tønsberg","Scytinium cellulosum",
"Scytinium cellulosum","(P.M.Jørg. & Tønsberg) Otálora, P.M.Jørg. & Wedin","Scytinium cellulosum",
"Scytinium contortum","(Sierk) Otálora, P.M.Jørg. & Wedin","Scytinium contortum",
"Scytinium dactylinum","(Tuck. ex Nyl.) Otálora, P.M.Jørg. & Wedin","Scytinium dactylinum",
"Scytinium erectum","(Sierk) Otálora, P.M.Jørg. & Wedin","Scytinium erectum",
"Collema fragrans","(Sm.) Ach.","Scytinium fragrans","Collema fragrans"
"Collema microphyllum","Ach.","Scytinium fragrans","Collema fragrans"
"Scytinium fragrans","(Sm.) Otálora, P.M.Jørg. & Wedin","Scytinium fragrans",
"Leptogium gelatinosum","(With.) J.R.Laundon","Scytinium gelatinosum","Leptogium gelatinosum"
"Leptogium sinuatum","(Huds.) A.Massal.","Scytinium gelatinosum","Leptogium gelatinosum"
"Scytinium gelatinosum","(With.) Otálora, P.M.Jørg. & Wedin","Scytinium gelatinosum",
"Leptogium imbricatum","P.M.Jørg.","Scytinium imbricatum","Leptogium imbricatum"
"Scytinium imbricatum","(P.M.Jørg.) Otálora, P.M.Jørg. & Wedin","Scytinium imbricatum",
"Leptogium intermedium","(Arnold ex Malbr.) Arnold","Scytinium intermedium","Leptogium intermedium"
"Scytinium intermedium","(Arnold ex Malbr.) Otálora, P.M.Jørg. & Wedin","Scytinium intermedium",
"Scytinium kauaiense","H.Magn. ex Otálora, P.M.Jørg. & Wedin","Scytinium kauaiense",
"Leptogium lichenoides","(L.) Zahlbr.","Scytinium lichenoides","Leptogium lichenoides"
"Scytinium lichenoides","(L.) Otálora, P.M.Jørg. & Wedin","Scytinium lichenoides",
"Scytinium magnussonii","(Degel. & P.M.Jørg.) Otálora, P.M.Jørg. & Wedin","Scytinium magnussonii",
"Scytinium massiliense","(Nyl.) Otálora, P.M.Jørg. & Wedin","Scytinium massiliense",
"Leptogium palmatum","(Huds.) Mont.","Scytinium palmatum",
"Scytinium palmatum","(Huds.) Gray","Scytinium palmatum",
"Leptogium platynum","(Tuck.) Herre","Scytinium platynum","Leptogium platynum"
"Scytinium platynum","(Tuck.) Otálora, P.M.Jørg. & Wedin","Scytinium platynum",
"Leptogium plicatile","(Ach.) Leight.","Scytinium plicatile","Leptogium plicatile"
"Scytinium plicatile","(Ach.) Otálora, P.M.Jørg. & Wedin","Scytinium plicatile",
"Leptogium polycarpum","P.M.Jørg. & Goward","Scytinium polycarpum","Leptogium polycarpum"
"Scytinium polycarpum","(P.M.Jørg. & Goward) Otálora, P.M.Jørg. & Wedin","Scytinium polycarpum",
"Leptogium lacerum","(Raeusch.) Gray","Scytinium pulvinatum",
"Leptogium lichenoides var. pulvinatum","(Hoffm.) Zahlbr.","Scytinium pulvinatum",
"Leptogium pulvinatum","(Hoffm.) Cromb.","Scytinium pulvinatum",
"Scytinium pulvinatum","(Hoffm.) Otálora, P.M.Jørg. & Wedin","Scytinium pulvinatum",
"Scytinium quadrifidum","(D.F.Stone & McCune) A.Košuth. & Wedin","Scytinium quadrifidum",
"Leptogium rivale","Tuck.","Scytinium rivale","Leptogium rivale"
"Scytinium rivale","(Tuck.) Otálora, P.M.Jørg. & Wedin","Scytinium rivale",
"Leptogium schraderi","(Ach.) Nyl.","Scytinium schraderi","Leptogium schraderi"
"Scytinium schraderi","(Ach.) Otálora, P.M.Jørg. & Wedin","Scytinium schraderi",
"Scytinium singulare","Carlberg & P.M.Jørg.","Scytinium singulare",
"Scytinium siskiyouense","(D.F.Stone & Ruchty) Otálora, P.M.Jørg. & Wedin","Scytinium siskiyouense",
"Leptogium subaridum","P.M.Jørg. & Goward","Scytinium subaridum","Leptogium subaridum"
"Scytinium subaridum","(P.M.Jørg. & Goward) Otálora, P.M.Jørg. & Wedin","Scytinium subaridum",
"Leptogium subtile","(Schrad.) Torss.","Scytinium subtile","Leptogium subtile"
"Scytinium subtile","(Schrad.) Otálora, P.M.Jørg. & Wedin","Scytinium subtile",
"Leptogium tacomae","P.M.Jørg. & Tønsberg","Scytinium tacomae",
"Scytinium tacomae","(P.M.Jørg. & Tønsberg) McCune","Scytinium tacomae",
"Leptogium nanum","Herre","Scytinium tenuissimum","Leptogium tenuissimum"
"Leptogium tenuissimum","(Dicks.) Körb.","Scytinium tenuissimum","Leptogium tenuissimum"
"Scytinium tenuissimum","(Dicks.) Otálora, P.M.Jørg. & Wedin","Scytinium tenuissimum",
"Scytinium teretiusculum","(Wallr.) Otálora et al.","Scytinium teretiusculum",
"Scytinium turgidum","(Ach.) Otálora, P.M.Jørg. & Wedin","Scytinium turgidum",
"Henssenia radiata","(P.James & Henssen) Ertz","Henssenia radiata",
"Steinera radiata","P.James & Henssen","Henssenia radiata",
"Koerberia biformis","A.Massal.","Koerberia biformis","Koerberia biformis"
"Steinera sorediata","James & Henssen","Steinera sorediata",
"Tingiopsidium elaeinum","(Wahlenb.) Hafellner & T.Sprib.","Tingiopsidium elaeinum",
"Vestergrenopsis elaeina","(Wahlenb.) Gyeln.","Tingiopsidium elaeinum","Vestergrenopsis elaeina"
"Tingiopsidium isidiatum","(Degel.) Hafellner & T.Sprib.","Tingiopsidium isidiatum",
