"family","genus","type"
"Dictyotaceae","Zonaria","brown algae"
"Choristocarpaceae","Choristocarpus","brown algae"
"Discosporangiaceae","Discosporangium","brown algae"
"Acinetosporaceae","Acinetospora","brown algae"
"Acinetosporaceae","Feldmannia","brown algae"
"Acinetosporaceae","Geminocarpus","brown algae"
"Acinetosporaceae","Giffordia","brown algae"
"Acinetosporaceae","Herponema","brown algae"
"Acinetosporaceae","Hincksia","brown algae"
"Acinetosporaceae","Internoretia","brown algae"
"Acinetosporaceae","Pilayella","brown algae"
"Acinetosporaceae","Pogotrichum","brown algae"
"Acinetosporaceae","Pylaiella","brown algae"
"Adenocystaceae","Adenocystis","brown algae"
"Chordariaceae","Acrothrix","brown algae"
"Chordariaceae","Ascocyclus","brown algae"
"Chordariaceae","Asperococcus","brown algae"
"Chordariaceae","Botrytella","brown algae"
"Chordariaceae","Chilionema","brown algae"
"Chordariaceae","Chordaria","brown algae"
"Chordariaceae","Cladosiphon","brown algae"
"Chordariaceae","Coelocladia","brown algae"
"Chordariaceae","Coilodesme","brown algae"
"Chordariaceae","Cylindrocarpus","brown algae"
"Chordariaceae","Delamarea","brown algae"
"Chordariaceae","Dictyosiphon","brown algae"
"Chordariaceae","Elachista","brown algae"
"Chordariaceae","Entonema","brown algae"
"Chordariaceae","Eudesme","brown algae"
"Chordariaceae","Fosliea","brown algae"
"Chordariaceae","Halorhipis","brown algae"
"Chordariaceae","Halothrix","brown algae"
"Chordariaceae","Haplogloia","brown algae"
"Chordariaceae","Hecatonema","brown algae"
"Chordariaceae","Hummia","brown algae"
"Chordariaceae","Isthmoplea","brown algae"
"Chordariaceae","Kuetzingiella","brown algae"
"Chordariaceae","Laminariocolax","brown algae"
"Chordariaceae","Leathesia","brown algae"
"Chordariaceae","Leblondiella","brown algae"
"Chordariaceae","Leptonematella","brown algae"
"Chordariaceae","Levringia","brown algae"
"Chordariaceae","Litosiphon","brown algae"
"Chordariaceae","Mesogloia","brown algae"
"Chordariaceae","Microspongium","brown algae"
"Chordariaceae","Mikrosyphar","brown algae"
"Chordariaceae","Myriactula","brown algae"
"Chordariaceae","Myriocladia","brown algae"
"Chordariaceae","Myrionema","brown algae"
"Chordariaceae","Myriotrichia","brown algae"
"Chordariaceae","Nemacystus","brown algae"
"Chordariaceae","Omphalophyllum","brown algae"
"Chordariaceae","Papenfussiella","brown algae"
"Chordariaceae","Phaeostroma","brown algae"
"Chordariaceae","Phycocelis","brown algae"
"Chordariaceae","Polycerea","brown algae"
"Chordariaceae","Protectocarpus","brown algae"
"Chordariaceae","Punctaria","brown algae"
"Chordariaceae","Rhadinocladia","brown algae"
"Chordariaceae","Saundersella","brown algae"
"Chordariaceae","Soranthera","brown algae"
"Chordariaceae","Sorocarpus","brown algae"
"Chordariaceae","Spermatochnus","brown algae"
"Chordariaceae","Sphaerotrichia","brown algae"
"Chordariaceae","Stictyosiphon","brown algae"
"Chordariaceae","Stilophora","brown algae"
"Chordariaceae","Streblonema","brown algae"
"Chordariaceae","Striaria","brown algae"
