"family","genus","type"
"Malmideaceae","Malmidea","lichen"
"Parmeliaceae","Ahtiana","lichen"
"Parmeliaceae","Alectoria","lichen"
"Parmeliaceae","Allantoparmelia","lichen"
"Parmeliaceae","Allocetraria","lichen"
"Parmeliaceae","Anzia","lichen"
"Parmeliaceae","Anzina","lichen"
"Parmeliaceae","Arctocetraria","lichen"
"Parmeliaceae","Arctoparmelia","lichen"
"Parmeliaceae","Asahinea","lichen"
"Parmeliaceae","Austroparmelina","lichen"
"Parmeliaceae","Brodoa","lichen"
"Parmeliaceae","Bryocaulon","lichen"
"Parmeliaceae","Bryoria","lichen"
"Parmeliaceae","Bulbothrix","lichen"
"Parmeliaceae","Canoparmelia","lichen"
"Parmeliaceae","Cetraria","lichen"
"Parmeliaceae","Cetrariella","lichen"
"Parmeliaceae","Cetrelia","lichen"
"Parmeliaceae","Cornicularia","lichen"
"Parmeliaceae","Crespoa","lichen"
"Parmeliaceae","Dactylina","lichen"
"Parmeliaceae","Dolichousnea","lichen"
"Parmeliaceae","Esslingeriana","lichen"
"Parmeliaceae","Eumitria","lichen"
"Parmeliaceae","Evernia","lichen"
"Parmeliaceae","Everniopsis","lichen"
"Parmeliaceae","Flavoparmelia","lichen"
"Parmeliaceae","Flavopunctelia","lichen"
"Parmeliaceae","Gowardia","lichen"
"Parmeliaceae","Hypogymnia","lichen"
"Parmeliaceae","Hypotrachyna","lichen"
"Parmeliaceae","Imshaugia","lichen"
"Parmeliaceae","Letharia","lichen"
"Parmeliaceae","Lethariella","lichen"
"Parmeliaceae","Melanelia","lichen"
"Parmeliaceae","Melanelixia","lichen"
"Parmeliaceae","Melanohalea","lichen"
"Parmeliaceae","Menegazzia","lichen"
"Parmeliaceae","Montanelia","lichen"
"Parmeliaceae","Myelochroa","lichen"
"Parmeliaceae","Neoprotoparmelia","lichen"
"Parmeliaceae","Nephromopsis","lichen"
"Parmeliaceae","Nesolechia","lichen"
"Parmeliaceae","Neuropogon","lichen"
"Parmeliaceae","Nodobryoria","lichen"
"Parmeliaceae","Notoparmelia","lichen"
"Parmeliaceae","Omphalora","lichen"
"Parmeliaceae","Oropogon","lichen"
"Parmeliaceae","Pannoparmelia","lichen"
"Parmeliaceae","Parmelia","lichen"
"Parmeliaceae","Parmelina","lichen"
"Parmeliaceae","Parmelinella","lichen"
"Parmeliaceae","Parmelinopsis","lichen"
"Parmeliaceae","Parmeliopsis","lichen"
"Parmeliaceae","Parmotrema","lichen"
"Parmeliaceae","Parmotremopsis","lichen"
"Parmeliaceae","Phacopsis","lichen"
"Parmeliaceae","Platismatia","lichen"
"Parmeliaceae","Platysma","lichen"
"Parmeliaceae","Pleurosticta","lichen"
"Parmeliaceae","Protoparmelia","lichen"
"Parmeliaceae","Protousnea","lichen"
"Parmeliaceae","Pseudephebe","lichen"
"Parmeliaceae","Pseudevernia","lichen"
"Parmeliaceae","Pseudoparmelia","lichen"
"Parmeliaceae","Punctelia","lichen"
"Parmeliaceae","Relicina","lichen"
"Parmeliaceae","Remototrachyna","lichen"
"Parmeliaceae","Rimelia","lichen"
"Parmeliaceae","Sulcaria","lichen"
"Parmeliaceae","Tuckermannopsis","lichen"
"Parmeliaceae","Tuckermanopsis","lichen"
"Parmeliaceae","Usnea","lichen"
"Parmeliaceae","Usnocetraria","lichen"
"Parmeliaceae","Vulpicida","lichen"
"Parmeliaceae","Xanthoparmelia","lichen"
"Pilocarpaceae","Aquacidia","lichen"
"Pilocarpaceae","Bapalmuia","lichen"
"Pilocarpaceae","Byssolecania","lichen"
"Pilocarpaceae","Byssoloma","lichen"
"Pilocarpaceae","Calopadia","lichen"
"Pilocarpaceae","Chlorocyphella","lichen"
"Pilocarpaceae","Eugeniella","lichen"
"Pilocarpaceae","Fellhanera","lichen"
"Pilocarpaceae","Fellhaneropsis","lichen"
"Pilocarpaceae","Helocarpon","lichen"
"Pilocarpaceae","Lasioloma","lichen"
"Pilocarpaceae","Loflammea","lichen"
"Pilocarpaceae","Micarea","lichen"
"Pilocarpaceae","Pyrenotrichum","lichen"
"Pilocarpaceae","Sporopodium","lichen"
"Pilocarpaceae","Tapellaria","lichen"
"Psilolechiaceae","Psilolechia","lichen"
"Psoraceae","Brianaria","lichen"
"Psoraceae","Protoblastenia","lichen"
"Psoraceae","Protomicarea","lichen"
"Psoraceae","Psora","lichen"
"Psoraceae","Psorula","lichen"
"Ramalinaceae","Adelolecia","lichen"
"Ramalinaceae","Auriculora","lichen"
"Ramalinaceae","Bacidia","lichen"
"Ramalinaceae","Bacidina","lichen"
"Ramalinaceae","Bacidiopsora","lichen"
"Ramalinaceae","Badimia","lichen"
"Ramalinaceae","Bellicidia","lichen"
"Ramalinaceae","Biatora","lichen"
"Ramalinaceae","Bibbya","lichen"
"Ramalinaceae","Bilimbia","lichen"
"Ramalinaceae","Catillochroma","lichen"
"Ramalinaceae","Catinaria","lichen"
"Ramalinaceae","Cliostomum","lichen"
"Ramalinaceae","Coppinsidea","lichen"
"Ramalinaceae","Eschatogonia","lichen"
"Ramalinaceae","Frutidella","lichen"
"Ramalinaceae","Ivanpisutia","lichen"
"Ramalinaceae","Japewia","lichen"
"Ramalinaceae","Kiliasia","lichen"
"Ramalinaceae","Krogia","lichen"
"Ramalinaceae","Lecania","lichen"
"Ramalinaceae","Lithocalla","lichen"
"Ramalinaceae","Lopezaria","lichen"
"Ramalinaceae","Megalaria","lichen"
"Ramalinaceae","Niebla","lichen"
"Ramalinaceae","Parallopsora","lichen"
"Ramalinaceae","Phyllopsora","lichen"
"Ramalinaceae","Physcidia","lichen"
"Ramalinaceae","Ramalina","lichen"
"Ramalinaceae","Ramalinopsis","lichen"
"Ramalinaceae","Schadonia","lichen"
"Ramalinaceae","Scutula","lichen"
"Ramalinaceae","Sporacestra","lichen"
"Ramalinaceae","Squamacidia","lichen"
"Ramalinaceae","Thalloidima","lichen"
"Ramalinaceae","Toninia","lichen"
"Ramalinaceae","Toniniopsis","lichen"
"Ramalinaceae","Trichoramalina","lichen"
"Ramalinaceae","Vermilacinia","lichen"
"Ramalinaceae","Waynea","lichen"
"Ramalinaceae","Wolseleyidea","lichen"
"Ramboldiaceae","Ramboldia","lichen"
"Scoliciosporaceae","Scoliciosporum","lichen"
"Sphaerophoraceae","Bunodophoron","lichen"
"Sphaerophoraceae","Gilbertaria","lichen"
"Sphaerophoraceae","Leifidium","lichen"
"Sphaerophoraceae","Sphaerophorus","lichen"
"Squamarinaceae","Herteliana","lichen"
"Squamarinaceae","Squamarina","lichen"
"Stereocaulaceae","Hertelidea","lichen"
"Stereocaulaceae","Lepraria","lichen"
"Stereocaulaceae","Stereocaulon","lichen"
"Stereocaulaceae","Xyleborus","lichen"
"Tephromelataceae","Calvitimela","lichen"
"Tephromelataceae","Mycoblastus","lichen"
"Tephromelataceae","Tephromela","lichen"
"Tephromelataceae","Violella","lichen"
"Lecideaceae","Amygdalaria","lichen"
"Lecideaceae","Bellemerea","lichen"
"Lecideaceae","Bryobilimbia","lichen"
"Lecideaceae","Cecidonia","lichen"
"Lecideaceae","Clauzadea","lichen"
"Lecideaceae","Cyclohymenia","lichen"
"Lecideaceae","Farnoldia","lichen"
"Lecideaceae","Immersaria","lichen"
"Lecideaceae","Koerberiella","lichen"
"Lecideaceae","Lecaimmeria","lichen"
"Lecideaceae","Lecidea","lichen"
"Lecideaceae","Lecidoma","lichen"
"Lecideaceae","Melanolecia","lichen"
"Lecideaceae","Mycobilimbia","lichen"
"Lecideaceae","Pachyphysis","lichen"
"Lecideaceae","Porpidia","lichen"
"Lecideaceae","Porpidinia","lichen"
"Lecideaceae","Romjularia","lichen"
"Lecideaceae","Stenhammarella","lichen"
"Lopadiaceae","Lopadium","lichen"
"Leprocaulaceae","Halecania","lichen"
"Leprocaulaceae","Leprocaulon","lichen"
"Leprocaulaceae","Speerschneidera","lichen"
"Coenogoniaceae","Coenogonium","lichen"
"Gomphillaceae","Actinoplaca","lichen"
"Gomphillaceae","Aderkomyces","lichen"
"Gomphillaceae","Arthotheliopsis","lichen"
"Gomphillaceae","Asterothyrium","lichen"
"Gomphillaceae","Aulaxina","lichen"
"Gomphillaceae","Bullatina","lichen"
"Gomphillaceae","Calenia","lichen"
"Gomphillaceae","Corticifraga","lichen"
"Gomphillaceae","Echinoplaca","lichen"
"Gomphillaceae","Gomphillus","lichen"
"Gomphillaceae","Gyalectidium","lichen"
"Gomphillaceae","Gyalidea","lichen"
"Gomphillaceae","Gyalideopsis","lichen"
"Gomphillaceae","Hippocrepidea","lichen"
"Gomphillaceae","Jamesiella","lichen"
"Gomphillaceae","Lithogyalideopsis","lichen"
"Gomphillaceae","Paragyalideopsis","lichen"
"Gomphillaceae","Phyllogyalidea","lichen"
"Gomphillaceae","Rolueckia","lichen"
"Gomphillaceae","Rubrotricha","lichen"
"Gomphillaceae","Tricharia","lichen"
"Graphidaceae","Acanthothecis","lichen"
"Graphidaceae","Acanthotrema","lichen"
"Graphidaceae","Allographa","lichen"
"Graphidaceae","Ampliotrema","lichen"
"Graphidaceae","Anomomorpha","lichen"
"Graphidaceae","Asteristion","lichen"
"Graphidaceae","Astrochapsa","lichen"
"Graphidaceae","Carbacanthographis","lichen"
"Graphidaceae","Chapsa","lichen"
"Graphidaceae","Chroodiscus","lichen"
"Graphidaceae","Clandestinotrema","lichen"
"Graphidaceae","Creographa","lichen"
"Graphidaceae","Cruentotrema","lichen"
"Graphidaceae","Crutarndina","lichen"
"Graphidaceae","Diorygma","lichen"
"Graphidaceae","Diploschistella","lichen"
"Graphidaceae","Diploschistes","lichen"
"Graphidaceae","Dyplolabia","lichen"
"Graphidaceae","Enterostigma","lichen"
"Graphidaceae","Fibrillithecis","lichen"
"Graphidaceae","Flegographa","lichen"
"Graphidaceae","Glaucotrema","lichen"
"Graphidaceae","Glyphis","lichen"
"Graphidaceae","Graphina","lichen"
"Graphidaceae","Graphis","lichen"
"Graphidaceae","Heiomasia","lichen"
"Graphidaceae","Helminthocarpon","lichen"
"Graphidaceae","Hemithecium","lichen"
"Graphidaceae","Jocatoa","lichen"
"Graphidaceae","Leiorreuma","lichen"
"Graphidaceae","Leptotrema","lichen"
"Graphidaceae","Leucodecton","lichen"
"Graphidaceae","Medusulina","lichen"
"Graphidaceae","Melanotopelia","lichen"
"Graphidaceae","Myriotrema","lichen"
"Graphidaceae","Nadvornikia","lichen"
"Graphidaceae","Ocellularia","lichen"
"Graphidaceae","Pallidogramme","lichen"
"Graphidaceae","Phaeographina","lichen"
"Graphidaceae","Phaeographis","lichen"
"Graphidaceae","Phaeotrema","lichen"
"Graphidaceae","Platygramme","lichen"
"Graphidaceae","Platythecium","lichen"
"Graphidaceae","Pseudochapsa","lichen"
"Graphidaceae","Psorotheciopsis","lichen"
"Graphidaceae","Pycnotrema","lichen"
"Graphidaceae","Redingeria","lichen"
"Graphidaceae","Reimnitzia","lichen"
"Graphidaceae","Rhabdodiscus","lichen"
"Graphidaceae","Sanguinotrema","lichen"
"Graphidaceae","Sarcographa","lichen"
"Graphidaceae","Sarcographina","lichen"
"Graphidaceae","Schistophoron","lichen"
"Graphidaceae","Stegobolus","lichen"
"Graphidaceae","Thalloloma","lichen"
"Graphidaceae","Thecaria","lichen"
"Graphidaceae","Thecographa","lichen"
"Graphidaceae","Thelotrema","lichen"
"Graphidaceae","Tremotylium","lichen"
"Graphidaceae","Wirthiotrema","lichen"
"Graphidaceae","Xalocoa","lichen"
"Gyalectaceae","Cryptolechia","lichen"
"Gyalectaceae","Dimerella","lichen"
"Gyalectaceae","Gyalecta","lichen"
"Gyalectaceae","Neopetractis","lichen"
"Gyalectaceae","Ramonia","lichen"
"Myeloconidiaceae","Myeloconis","lichen"
"Odontotremataceae","Coccomycetella","lichen"
"Odontotremataceae","Odontotrema","lichen"
"Odontotremataceae","Potriphila","lichen"
"Odontotremataceae","Tryblis","lichen"
"Odontotremataceae","Xerotrema","lichen"
"Phlyctidaceae","Phlyctella","lichen"
"Phlyctidaceae","Phlyctidia","lichen"
"Phlyctidaceae","Phlyctis","lichen"
"Porinaceae","Clathroporina","lichen"
"Porinaceae","Porina","lichen"
"Porinaceae","Pseudosagedia","lichen"
"Porinaceae","Segestria","lichen"
"Porinaceae","Trichothelium","lichen"
"Protothelenellaceae","Protothelenella","lichen"
"Redonographaceae","Redonographa","lichen"
"Sagiolechiaceae","Rhexophiale","lichen"
"Sagiolechiaceae","Sagiolechia","lichen"
"Spirographaceae","Spirographa","lichen"
"Stictidaceae","Absconditella","lichen"
"Stictidaceae","Acarosporina","lichen"
"Stictidaceae","Agyriella","lichen"
"Stictidaceae","Biostictis","lichen"
"Stictidaceae","Carestiella","lichen"
"Stictidaceae","Cryptodiscus","lichen"
"Stictidaceae","Cyanodermella","lichen"
"Stictidaceae","Fitzroyomyces","lichen"
"Stictidaceae","Glomerobolus","lichen"
"Stictidaceae","Hormodochis","lichen"
"Stictidaceae","Ingvariella","lichen"
"Stictidaceae","Karstenia","lichen"
"Stictidaceae","Lillicoa","lichen"
"Stictidaceae","Nanostictis","lichen"
"Stictidaceae","Ostropa","lichen"
"Stictidaceae","Petractis","lichen"
"Stictidaceae","Robergea","lichen"
"Stictidaceae","Schizoxylon","lichen"
"Stictidaceae","Sphaeropezia","lichen"
"Stictidaceae","Stictis","lichen"
"Stictidaceae","Thelopsis","lichen"
"Stictidaceae","Topelia","lichen"
"Stictidaceae","Trinathotrema","lichen"
"Stictidaceae","Xyloschistes","lichen"
"Thelenellaceae","Aspidothelium","lichen"
"Thelenellaceae","Polyblastiopsis","lichen"
"Thelenellaceae","Thelenella","lichen"
"Thrombiaceae","Thrombium","lichen"
"Coccocarpiaceae","Coccocarpia","lichen"
"Coccocarpiaceae","Spilonema","lichen"
"Collemataceae","Blennothallia","lichen"
"Collemataceae","Callome","lichen"
"Collemataceae","Collema","lichen"
"Collemataceae","Enchylium","lichen"
"Collemataceae","Lathagrium","lichen"
"Collemataceae","Leptogium","lichen"
"Collemataceae","Pseudoleptogium","lichen"
"Collemataceae","Rostania","lichen"
"Collemataceae","Scytinium","lichen"
"Koerberiaceae","Henssenia","lichen"
"Koerberiaceae","Koerberia","lichen"
"Koerberiaceae","Steinera","lichen"
"Koerberiaceae","Tingiopsidium","lichen"
"Lobariaceae","Cyanisticta","lichen"
"Lobariaceae","Dendriscosticta","lichen"
"Lobariaceae","Emmanuelia","lichen"
"Lobariaceae","Lobaria","lichen"
"Lobariaceae","Lobariella","lichen"
"Lobariaceae","Lobarina","lichen"
"Lobariaceae","Podostictina","lichen"
"Lobariaceae","Pseudocyphellaria","lichen"
"Lobariaceae","Ricasolia","lichen"
"Lobariaceae","Sticta","lichen"
"Lobariaceae","Yarrumia","lichen"
"Lobariaceae","Yoshimuriella","lichen"
"Massalongiaceae","Leptochidium","lichen"
"Massalongiaceae","Massalongia","lichen"
"Massalongiaceae","Polychidium","lichen"
"Nephromataceae","Nephroma","lichen"
"Pannariaceae","Atrophysma","lichen"
"Pannariaceae","Degelia","lichen"
"Pannariaceae","Erioderma","lichen"
"Pannariaceae","Fuscopannaria","lichen"
"Pannariaceae","Leciophysma","lichen"
"Pannariaceae","Leioderma","lichen"
"Pannariaceae","Lepidocollema","lichen"
"Pannariaceae","Leptogidium","lichen"
"Pannariaceae","Pannaria","lichen"
"Pannariaceae","Parmeliella","lichen"
"Pannariaceae","Pectenia","lichen"
"Pannariaceae","Physma","lichen"
"Pannariaceae","Protopannaria","lichen"
"Pannariaceae","Psoroma","lichen"
"Pannariaceae","Psorophorus","lichen"
"Pannariaceae","Rockefellera","lichen"
"Pannariaceae","Santessoniella","lichen"
"Pannariaceae","Staurolemma","lichen"
"Pannariaceae","Steineropsis","lichen"
"Peltigeraceae","Peltigera","lichen"
"Peltigeraceae","Sinuicella","lichen"
"Peltigeraceae","Solorina","lichen"
"Placynthiaceae","Hertella","lichen"
"Placynthiaceae","Placynthium","lichen"
"Vahliellaceae","Vahliella","lichen"
"Agyriaceae","Agyrium","lichen"
"Coccotremataceae","Coccotrema","lichen"
"Coccotremataceae","Gyalectaria","lichen"
"Icmadophilaceae","Dibaeis","lichen"
"Icmadophilaceae","Icmadophila","lichen"
"Icmadophilaceae","Siphula","lichen"
"Icmadophilaceae","Thamnolia","lichen"
"Megasporaceae","Aspicilia","lichen"
"Megasporaceae","Aspiciliella","lichen"
"Megasporaceae","Circinaria","lichen"
"Megasporaceae","Lobothallia","lichen"
"Megasporaceae","Megaspora","lichen"
"Megasporaceae","Oxneriaria","lichen"
"Megasporaceae","Sagedia","lichen"
"Megasporaceae","Teuvoa","lichen"
"Microcaliciaceae","Microcalicium","lichen"
"Ochrolechiaceae","Ochrolechia","lichen"
"Ochrolechiaceae","Varicellaria","lichen"
"Pertusariaceae","Lepra","lichen"
"Pertusariaceae","Loxosporopsis","lichen"
"Pertusariaceae","Pertusaria","lichen"
"Pertusariaceae","Verseghya","lichen"
"Rhizocarpaceae","Catolechia","lichen"
"Rhizocarpaceae","Epilichen","lichen"
"Rhizocarpaceae","Rhizocarpon","lichen"
"Sporastatiaceae","Sporastatia","lichen"
"Sporastatiaceae","Toensbergia","lichen"
"Sarrameanaceae","Loxospora","lichen"
"Schaereriaceae","Schaereria","lichen"
"Brigantiaeaceae","Brigantiaea","lichen"
"Brigantiaeaceae","Letrouitia","lichen"
"Megalosporaceae","Bombyliospora","lichen"
"Megalosporaceae","Megaloblastenia","lichen"
"Megalosporaceae","Megalospora","lichen"
"Teloschistaceae","Amundsenia","lichen"
"Teloschistaceae","Apatoplaca","lichen"
"Teloschistaceae","Athallia","lichen"
"Teloschistaceae","Austroplaca","lichen"
"Teloschistaceae","Blastenia","lichen"
"Teloschistaceae","Bryoplaca","lichen"
"Teloschistaceae","Calogaya","lichen"
"Teloschistaceae","Caloplaca","lichen"
"Teloschistaceae","Cephalophysis","lichen"
"Teloschistaceae","Cerothallia","lichen"
"Teloschistaceae","Coppinsiella","lichen"
"Teloschistaceae","Erichansenia","lichen"
"Teloschistaceae","Flavoplaca","lichen"
"Teloschistaceae","Fulgensia","lichen"
"Teloschistaceae","Fulgogasparrea","lichen"
"Teloschistaceae","Gallowayella","lichen"
"Teloschistaceae","Gintarasiella","lichen"
"Teloschistaceae","Golubkovia","lichen"
"Teloschistaceae","Gyalolechia","lichen"
"Teloschistaceae","Huneckia","lichen"
"Teloschistaceae","Igneoplaca","lichen"
"Teloschistaceae","Kaernefia","lichen"
"Teloschistaceae","Kuettlingeria","lichen"
"Teloschistaceae","Lacrima","lichen"
"Teloschistaceae","Lazarenkoella","lichen"
"Teloschistaceae","Lazarenkoiopsis","lichen"
"Teloschistaceae","Lendemeriella","lichen"
"Teloschistaceae","Leproplaca","lichen"
"Teloschistaceae","Loekoesia","lichen"
"Teloschistaceae","Martinjahnsia","lichen"
"Teloschistaceae","Massjukiella","lichen"
"Teloschistaceae","Neobrownliella","lichen"
"Teloschistaceae","Niorma","lichen"
"Teloschistaceae","Obscuroplaca","lichen"
"Teloschistaceae","Olegblumia","lichen"
"Teloschistaceae","Opeltia","lichen"
"Teloschistaceae","Oxneria","lichen"
"Teloschistaceae","Oxneriopsis","lichen"
"Teloschistaceae","Pachypeltis","lichen"
"Teloschistaceae","Parvoplaca","lichen"
"Teloschistaceae","Pisutiella","lichen"
"Teloschistaceae","Polycauliona","lichen"
"Teloschistaceae","Pyrenodesmia","lichen"
"Teloschistaceae","Rufoplaca","lichen"
"Teloschistaceae","Rusavskia","lichen"
"Teloschistaceae","Sanguineodiscus","lichen"
"Teloschistaceae","Seawardiella","lichen"
"Teloschistaceae","Seirophora","lichen"
"Teloschistaceae","Solitaria","lichen"
"Teloschistaceae","Squamulea","lichen"
"Teloschistaceae","Sucioplaca","lichen"
"Teloschistaceae","Tassiloa","lichen"
"Teloschistaceae","Tayloriellina","lichen"
"Teloschistaceae","Teloschistes","lichen"
"Teloschistaceae","Teuvoahtiana","lichen"
"Teloschistaceae","Tomnashia","lichen"
"Teloschistaceae","Upretia","lichen"
"Teloschistaceae","Variospora","lichen"
"Teloschistaceae","Verrucoplaca","lichen"
"Teloschistaceae","Wetmoreana","lichen"
"Teloschistaceae","Xanthaptychia","lichen"
"Teloschistaceae","Xanthocarpia","lichen"
"Teloschistaceae","Xanthomendoza","lichen"
"Teloschistaceae","Xanthoria","lichen"
"Trapeliaceae","Lignoscripta","lichen"
"Trapeliaceae","Placopsis","lichen"
"Trapeliaceae","Placynthiella","lichen"
"Trapeliaceae","Rimularia","lichen"
"Trapeliaceae","Trapelia","lichen"
"Trapeliaceae","Trapeliopsis","lichen"
"Xylographaceae","Lambiella","lichen"
"Xylographaceae","Lithographa","lichen"
"Xylographaceae","Ptychographa","lichen"
"Xylographaceae","Xylographa","lichen"
"Elixiaceae","Elixia","lichen"
"Fuscideaceae","Albemarlea","lichen"
"Fuscideaceae","Fuscidea","lichen"
"Fuscideaceae","Lettauia","lichen"
"Fuscideaceae","Maronea","lichen"
"Fuscideaceae","Orphniospora","lichen"
"Ophioparmaceae","Hypocenomyce","lichen"
"Ophioparmaceae","Ophioparma","lichen"
"Ropalosporaceae","Ropalospora","lichen"
"Umbilicariaceae","Fulgidea","lichen"
"Umbilicariaceae","Lasallia","lichen"
"Umbilicariaceae","Umbilicaria","lichen"
"Umbilicariaceae","Umbillicaria","lichen"
"Umbilicariaceae","Xylopsora","lichen"
"Candelariaceae","Candelaria","lichen"
"Candelariaceae","Candelariella","lichen"
"Candelariaceae","Candelina","lichen"
"Candelariaceae","Placomaronea","lichen"
"Pycnoraceae","Pycnora","lichen"
"Coniocybaceae","Chaenotheca","lichen"
"Coniocybaceae","Coniocybe","lichen"
"Coniocybaceae","Sclerophora","lichen"
"Gloeoheppiaceae","Gloeoheppia","lichen"
"Gloeoheppiaceae","Pseudopeltula","lichen"
"Lichinaceae","Anema","lichen"
"Lichinaceae","Cryptothele","lichen"
"Lichinaceae","Digitothyrea","lichen"
"Lichinaceae","Ephebe","lichen"
"Lichinaceae","Finkia","lichen"
"Lichinaceae","Gonohymenia","lichen"
"Lichinaceae","Gyrocollema","lichen"
"Lichinaceae","Heppia","lichen"
"Lichinaceae","Lemmopsis","lichen"
"Lichinaceae","Lempholemma","lichen"
"Lichinaceae","Leprocollema","lichen"
"Lichinaceae","Lichina","lichen"
"Lichinaceae","Lichinella","lichen"
"Lichinaceae","Metamelanea","lichen"
"Lichinaceae","Paulia","lichen"
"Lichinaceae","Peccania","lichen"
"Lichinaceae","Phloeopeccania","lichen"
"Lichinaceae","Phylliscum","lichen"
"Lichinaceae","Porocyphus","lichen"
"Lichinaceae","Psorotichia","lichen"
"Lichinaceae","Pterygiopsis","lichen"
"Lichinaceae","Pyrenocarpon","lichen"
"Lichinaceae","Pyrenopsis","lichen"
"Lichinaceae","Stromatella","lichen"
"Lichinaceae","Synalissa","lichen"
"Lichinaceae","Thallinocarpon","lichen"
"Lichinaceae","Thelochroa","lichen"
"Lichinaceae","Thermutis","lichen"
"Lichinaceae","Thyrea","lichen"
"Lichinaceae","Zahlbrucknerella","lichen"
"Peltulaceae","Peltula","lichen"
"Peltulaceae","Phyllopeltula","lichen"
"Vezdaeaceae","Vezdaea","lichen"
"Chlamydomonadaceae","Carteria","green algae"
"Anthocerotaceae","Anthoceros","bryophyte"
"Anthocerotaceae","Aspiromitus","bryophyte"
"Anthocerotaceae","Folioceros","bryophyte"
"Anthocerotaceae","Foraminisporis","bryophyte"
"Anthocerotaceae","Rudolphisporis","bryophyte"
"Dendrocerotaceae","Dendroceros","bryophyte"
"Dendrocerotaceae","Megaceros","bryophyte"
"Dendrocerotaceae","Nothoceros","bryophyte"
"Dendrocerotaceae","Phaeomegaceros","bryophyte"
"Notothyladaceae","Mesoceros","bryophyte"
"Notothyladaceae","Notothylas","bryophyte"
"Notothyladaceae","Paraphymatoceros","bryophyte"
"Notothyladaceae","Phaeoceros","bryophyte"
"Phymatocerotaceae","Phymatoceros","bryophyte"
"Leiosporocerotaceae","Leiosporoceros","bryophyte"
"Andreaeaceae","Andreaea","bryophyte"
"Andreaeobryaceae","Andreaeobryum","bryophyte"
"Aulacomniaceae","Aulacomnium","bryophyte"
"Aulacomniaceae","Hymenodontopsis","bryophyte"
"Aulacomniaceae","Mesochaete","bryophyte"
"Bartramiaceae","Anacolia","bryophyte"
"Bartramiaceae","Bartramia","bryophyte"
"Bartramiaceae","Bartramidula","bryophyte"
"Bartramiaceae","Breutelia","bryophyte"
"Bartramiaceae","Conostomum","bryophyte"
"Bartramiaceae","Fleischerobryum","bryophyte"
"Bartramiaceae","Flowersia","bryophyte"
"Bartramiaceae","Leiomela","bryophyte"
"Bartramiaceae","Philonotis","bryophyte"
"Bartramiaceae","Plagiopus","bryophyte"
"Bryaceae","Acidodontium","bryophyte"
"Bryaceae","Anomobryum","bryophyte"
"Bryaceae","Brachymenium","bryophyte"
"Bryaceae","Bryum","bryophyte"
"Bryaceae","Cladodium","bryophyte"
"Bryaceae","Gemmabryum","bryophyte"
"Bryaceae","Haplodontium","bryophyte"
"Bryaceae","Imbribryum","bryophyte"
"Bryaceae","Leptostomopsis","bryophyte"
"Bryaceae","Ochiobryum","bryophyte"
"Bryaceae","Osculatia","bryophyte"
"Bryaceae","Perssonia","bryophyte"
"Bryaceae","Plagiobryoides","bryophyte"
"Bryaceae","Plagiobryum","bryophyte"
"Bryaceae","Pseudopohlia","bryophyte"
"Bryaceae","Ptychostomum","bryophyte"
"Bryaceae","Rhodobryum","bryophyte"
"Bryaceae","Roellobryon","bryophyte"
"Bryaceae","Rosulabryum","bryophyte"
"Bryaceae","Stableria","bryophyte"
"Leptostomaceae","Leptostomum","bryophyte"
"Mniaceae","Cinclidium","bryophyte"
"Mniaceae","Cyrtomnium","bryophyte"
"Mniaceae","Epipterygium","bryophyte"
"Mniaceae","Leucolepis","bryophyte"
"Mniaceae","Mielichhoferia","bryophyte"
"Mniaceae","Mniobryum","bryophyte"
"Mniaceae","Mnium","bryophyte"
"Mniaceae","Orthomnion","bryophyte"
"Mniaceae","Plagiomnium","bryophyte"
"Mniaceae","Pohlia","bryophyte"
"Mniaceae","Pseudobryum","bryophyte"
"Mniaceae","Rhizomnium","bryophyte"
"Mniaceae","Schizymenium","bryophyte"
"Mniaceae","Synthetodontium","bryophyte"
"Mniaceae","Trachycystis","bryophyte"
"Mniaceae","Webera","bryophyte"
"Orthodontiaceae","Hymenodon","bryophyte"
"Orthodontiaceae","Leptotheca","bryophyte"
"Orthodontiaceae","Orthodontium","bryophyte"
"Phyllodrepaniaceae","Mniomalia","bryophyte"
"Phyllodrepaniaceae","Phyllodrepanium","bryophyte"
"Pseudoditrichaceae","Pseudoditrichum","bryophyte"
"Pulchrinodaceae","Pulchrinodus","bryophyte"
"Buxbaumiaceae","Buxbaumia","bryophyte"
"Catoscopiaceae","Catoscopium","bryophyte"
"Amphidiaceae","Amphidium","bryophyte"
"Aongstroemiaceae","Aongstroemia","bryophyte"
"Aongstroemiaceae","Dichodontium","bryophyte"
"Aongstroemiaceae","Diobelonella","bryophyte"
"Aongstroemiaceae","Hygrodicranum","bryophyte"
"Aongstroemiaceae","Neodicranella","bryophyte"
"Aongstroemiaceae","Polymerodon","bryophyte"
"Archidiaceae","Archidium","bryophyte"
"Bruchiaceae","Bruchia","bryophyte"
"Bruchiaceae","Cladophascum","bryophyte"
"Bruchiaceae","Eobruchia","bryophyte"
"Bruchiaceae","Trematodon","bryophyte"
"Bryoxiphiaceae","Bryoxiphium","bryophyte"
"Calymperaceae","Arthrocormus","bryophyte"
"Calymperaceae","Calymperes","bryophyte"
"Calymperaceae","Chameleion","bryophyte"
"Calymperaceae","Exodictyon","bryophyte"
"Calymperaceae","Exostratum","bryophyte"
"Calymperaceae","Leucophanes","bryophyte"
